date,home_team,away_team,home_score,away_score,tournament,country,victoire
1954-06-26,Switzerland,Austria,5,7,FIFA World Cup,Switzerland,False
1955-02-27,Chile,Ecuador,7,1,Copa América,Chile,True
1955-03-06,Chile,Peru,5,4,Copa América,Chile,True
1955-03-13,Chile,Uruguay,2,2,Copa América,Chile,False
1955-03-20,Chile,Paraguay,5,0,Copa América,Chile,True
1955-03-30,Chile,Argentina,0,1,Copa América,Chile,False
1956-01-21,Uruguay,Paraguay,4,2,Copa América,Uruguay,True
1956-01-28,Uruguay,Peru,2,0,Copa América,Uruguay,True
1956-02-06,Uruguay,Chile,2,1,Copa América,Uruguay,True
1956-02-10,Uruguay,Brazil,0,0,Copa América,Uruguay,False
1956-02-15,Uruguay,Argentina,1,0,Copa América,Uruguay,True
1956-09-01,Hong Kong,Israel,2,3,AFC Asian Cup,Hong Kong,False
1956-09-06,Hong Kong,South Korea,2,2,AFC Asian Cup,Hong Kong,False
1956-09-09,Hong Kong,Vietnam Republic,2,2,AFC Asian Cup,Hong Kong,False
1957-02-10,Sudan,Egypt,1,2,African Cup of Nations,Sudan,False
1957-03-10,Peru,Ecuador,2,1,Copa América,Peru,True
1957-03-16,Peru,Chile,1,0,Copa América,Peru,True
1957-03-23,Peru,Uruguay,3,5,Copa América,Peru,False
1957-03-27,Peru,Colombia,4,1,Copa América,Peru,True
1957-03-31,Peru,Brazil,0,1,Copa América,Peru,False
1957-04-06,Peru,Argentina,2,1,Copa América,Peru,True
1958-06-08,Sweden,Mexico,3,0,FIFA World Cup,Sweden,True
1958-06-12,Sweden,Hungary,2,1,FIFA World Cup,Sweden,True
1958-06-15,Sweden,Wales,0,0,FIFA World Cup,Sweden,False
1958-06-19,Sweden,Russia,2,0,FIFA World Cup,Sweden,True
1958-06-24,Sweden,Germany,3,1,FIFA World Cup,Sweden,True
1958-06-29,Sweden,Brazil,2,5,FIFA World Cup,Sweden,False
1959-03-07,Argentina,Chile,6,1,Copa América,Argentina,True
1959-03-11,Argentina,Bolivia,2,0,Copa América,Argentina,True
1959-03-18,Argentina,Peru,3,1,Copa América,Argentina,True
1959-03-22,Argentina,Paraguay,3,1,Copa América,Argentina,True
1959-03-30,Argentina,Uruguay,4,1,Copa América,Argentina,True
1959-04-04,Argentina,Brazil,1,1,Copa América,Argentina,False
1959-12-06,Ecuador,Uruguay,0,4,Copa América,Ecuador,False
1959-12-12,Ecuador,Argentina,1,1,Copa América,Ecuador,False
1959-12-19,Ecuador,Brazil,1,3,Copa América,Ecuador,False
1959-12-25,Ecuador,Paraguay,3,1,Copa América,Ecuador,True
1960-07-06,France,Yugoslavia,4,5,UEFA Euro,France,False
1960-07-09,France,Czechoslovakia,0,2,UEFA Euro,France,False
1960-10-14,South Korea,Vietnam Republic,5,1,AFC Asian Cup,South Korea,True
1960-10-17,South Korea,Israel,3,0,AFC Asian Cup,South Korea,True
1960-10-21,South Korea,Taiwan,1,0,AFC Asian Cup,South Korea,True
1962-01-14,Ethiopia,Tunisia,4,2,African Cup of Nations,Ethiopia,True
1962-01-21,Ethiopia,Egypt,4,2,African Cup of Nations,Ethiopia,True
1962-05-30,Chile,Switzerland,3,1,FIFA World Cup,Chile,True
1962-06-02,Chile,Italy,2,0,FIFA World Cup,Chile,True
1962-06-06,Chile,Germany,0,2,FIFA World Cup,Chile,False
1962-06-10,Chile,Russia,2,1,FIFA World Cup,Chile,True
1962-06-13,Chile,Brazil,2,4,FIFA World Cup,Chile,False
1962-06-16,Chile,Yugoslavia,1,0,FIFA World Cup,Chile,True
1963-03-10,Bolivia,Ecuador,4,4,Copa América,Bolivia,False
1963-03-17,Bolivia,Colombia,2,1,Copa América,Bolivia,True
1963-03-21,Bolivia,Peru,3,2,Copa América,Bolivia,True
1963-03-24,Bolivia,Paraguay,2,0,Copa América,Bolivia,True
1963-03-28,Bolivia,Argentina,3,2,Copa América,Bolivia,True
1963-03-31,Bolivia,Brazil,5,4,Copa América,Bolivia,True
1963-11-24,Ghana,Tunisia,1,1,African Cup of Nations,Ghana,False
1963-11-26,Ghana,Ethiopia,2,0,African Cup of Nations,Ghana,True
1963-12-01,Ghana,Sudan,3,0,African Cup of Nations,Ghana,True
1964-05-26,Israel,Hong Kong,1,0,AFC Asian Cup,Israel,True
1964-05-29,Israel,India,2,0,AFC Asian Cup,Israel,True
1964-06-03,Israel,South Korea,2,1,AFC Asian Cup,Israel,True
1964-06-17,Spain,Hungary,2,1,UEFA Euro,Spain,True
1964-06-21,Spain,Russia,2,1,UEFA Euro,Spain,True
1965-11-12,Tunisia,Ethiopia,4,0,African Cup of Nations,Tunisia,True
1965-11-14,Tunisia,Senegal,0,0,African Cup of Nations,Tunisia,False
1965-11-21,Tunisia,Ghana,2,3,African Cup of Nations,Tunisia,False
1966-07-11,England,Uruguay,0,0,FIFA World Cup,England,False
1966-07-16,England,Mexico,2,0,FIFA World Cup,England,True
1966-07-20,England,France,2,0,FIFA World Cup,England,True
1966-07-23,England,Argentina,1,0,FIFA World Cup,England,True
1966-07-26,England,Portugal,2,1,FIFA World Cup,England,True
1966-07-30,England,Germany,4,2,FIFA World Cup,England,True
1966-11-30,Chile,Colombia,5,2,Copa América,Chile,True
1966-12-11,Colombia,Chile,0,0,Copa América,Colombia,False
1966-12-21,Ecuador,Paraguay,2,2,Copa América,Ecuador,False
1966-12-28,Paraguay,Ecuador,3,1,Copa América,Paraguay,True
1967-01-17,Uruguay,Bolivia,4,0,Copa América,Uruguay,True
1967-01-21,Uruguay,Venezuela,4,0,Copa América,Uruguay,True
1967-01-26,Uruguay,Chile,2,2,Copa América,Uruguay,False
1967-01-29,Uruguay,Paraguay,2,0,Copa América,Uruguay,True
1967-02-02,Uruguay,Argentina,1,0,Copa América,Uruguay,True
1968-01-12,Ethiopia,Uganda,2,1,African Cup of Nations,Ethiopia,True
1968-01-14,Ethiopia,Ivory Coast,1,0,African Cup of Nations,Ethiopia,True
1968-01-16,Ethiopia,Algeria,3,1,African Cup of Nations,Ethiopia,True
1968-01-19,Ethiopia,DR Congo,2,3,African Cup of Nations,Ethiopia,False
1968-01-21,Ethiopia,Ivory Coast,0,1,African Cup of Nations,Ethiopia,False
1968-05-10,Iran,Hong Kong,2,0,AFC Asian Cup,Iran,True
1968-05-13,Iran,Taiwan,4,0,AFC Asian Cup,Iran,True
1968-05-16,Iran,Myanmar,3,1,AFC Asian Cup,Iran,True
1968-05-19,Iran,Israel,2,1,AFC Asian Cup,Iran,True
1968-06-05,Italy,Russia,0,0,UEFA Euro,Italy,False
1968-06-08,Italy,Yugoslavia,1,1,UEFA Euro,Italy,False
1968-06-10,Italy,Yugoslavia,2,0,UEFA Euro,Italy,True
1970-02-06,Sudan,Ethiopia,3,0,African Cup of Nations,Sudan,True
1970-02-08,Sudan,Ivory Coast,0,1,African Cup of Nations,Sudan,False
1970-02-10,Sudan,Cameroon,2,1,African Cup of Nations,Sudan,True
1970-02-14,Sudan,Egypt,2,1,African Cup of Nations,Sudan,True
1970-02-16,Sudan,Ghana,1,0,African Cup of Nations,Sudan,True
1970-05-31,Mexico,Russia,0,0,FIFA World Cup,Mexico,False
1970-06-07,Mexico,El Salvador,4,0,FIFA World Cup,Mexico,True
1970-06-11,Mexico,Belgium,1,0,FIFA World Cup,Mexico,True
1970-06-14,Mexico,Italy,1,4,FIFA World Cup,Mexico,False
1972-02-23,Cameroon,Kenya,2,1,African Cup of Nations,Cameroon,True
1972-02-26,Cameroon,Togo,2,0,African Cup of Nations,Cameroon,True
1972-02-28,Cameroon,Mali,1,1,African Cup of Nations,Cameroon,False
1972-03-02,Cameroon,Congo,0,1,African Cup of Nations,Cameroon,False
1972-03-04,Cameroon,DR Congo,5,2,African Cup of Nations,Cameroon,True
1972-05-08,Thailand,Kuwait,0,2,AFC Asian Cup,Thailand,False
1972-05-11,Thailand,Iraq,1,1,AFC Asian Cup,Thailand,False
1972-05-13,Thailand,Iran,2,3,AFC Asian Cup,Thailand,False
1972-05-17,Thailand,South Korea,1,1,AFC Asian Cup,Thailand,False
1972-05-19,Thailand,Cambodia,2,2,AFC Asian Cup,Thailand,False
1972-06-14,Belgium,Germany,1,2,UEFA Euro,Belgium,False
1972-06-17,Belgium,Hungary,2,1,UEFA Euro,Belgium,True
1974-03-01,Egypt,Uganda,2,1,African Cup of Nations,Egypt,True
1974-03-04,Egypt,Zambia,3,1,African Cup of Nations,Egypt,True
1974-03-06,Egypt,Ivory Coast,2,0,African Cup of Nations,Egypt,True
