date,home_team,away_team,home_score,away_score,tournament,country,victoire
1990-07-03,Italy,Argentina,1,1,FIFA World Cup,Italy,False
1990-07-07,Italy,England,2,1,FIFA World Cup,Italy,True
1991-07-06,Chile,Venezuela,2,0,Copa América,Chile,True
1991-07-08,Chile,Peru,4,2,Copa América,Chile,True
1991-07-10,Chile,Argentina,0,1,Copa América,Chile,False
1991-07-14,Chile,Paraguay,4,0,Copa América,Chile,True
1991-07-17,Chile,Colombia,1,1,Copa América,Chile,False
1991-07-19,Chile,Argentina,0,0,Copa América,Chile,False
1991-07-21,Chile,Brazil,0,2,Copa América,Chile,False
1992-01-12,Senegal,Nigeria,1,2,African Cup of Nations,Senegal,False
