home_team,away_team,tournament,difference
Sweden,Germany,Friendly,2
Argentina,Uruguay,Copa Lipton,2
Sweden,Norway,Friendly,3
Argentina,Uruguay,Copa Premio Honor Argentino,2
Finland,Sweden,Friendly,3
Germany,Sweden,Friendly,2
Hungary,Switzerland,Friendly,9
Luxembourg,France,Friendly,3
Uruguay,Argentina,Copa Premio Honor Uruguayo,3
Hungary,Austria,Friendly,2
Germany,Hungary,Friendly,3
Northern Ireland,England,British Home Championship,5
France,Catalonia,Friendly,7
France,Switzerland,Friendly,3
Belgium,Switzerland,Friendly,7
Wales,England,British Home Championship,2
Northern Ireland,Scotland,British Home Championship,3
Norway,Hungary,Friendly,6
Sweden,Finland,Friendly,6
Austria,Italy,Friendly,4
Hungary,Austria,Friendly,3
Netherlands,Austria,Friendly,2
Russia,Hungary,Friendly,9
Russia,Hungary,Friendly,12
Uruguay,Argentina,Copa Lipton,2
Uruguay,Argentina,Copa Premio Honor Uruguayo,3
Denmark,Germany,Friendly,2
Hungary,Austria,Friendly,4
Sweden,Norway,Friendly,2
Uruguay,Argentina,Friendly,2
Italy,Austria,Friendly,2
Belgium,France,Friendly,3
Switzerland,France,Friendly,3
France,Luxembourg,Friendly,8
Netherlands,Belgium,Friendly,2
Austria,Hungary,Friendly,3
Russia,Sweden,Friendly,3
Hungary,Sweden,Friendly,2
Denmark,Sweden,Friendly,8
Sweden,Norway,Friendly,9
Austria,Italy,Friendly,2
Argentina,Uruguay,Copa Lipton,4
Argentina,Uruguay,Copa Premio Honor Argentino,2
Chile,Argentina,Friendly,2
Sweden,Denmark,Friendly,10
Germany,Denmark,Friendly,3
Belgium,Switzerland,Friendly,2
Belgium,Germany,Friendly,4
England,Northern Ireland,British Home Championship,3
Belgium,Netherlands,Friendly,2
Wales,England,British Home Championship,2
Italy,France,Friendly,2
Scotland,England,British Home Championship,2
Netherlands,Belgium,Friendly,2
Austria,Hungary,Friendly,2
Hungary,France,Friendly,4
Argentina,Brazil,Friendly,3
Sweden,Norway,Friendly,7
Basque Country,Catalonia,Friendly,5
Italy,Switzerland,Friendly,2
Hungary,Austria,Friendly,3
Denmark,Sweden,Friendly,2
Uruguay,Argentina,Copa Newton,2
Denmark,Norway,Friendly,7
Austria,Hungary,Friendly,2
Sweden,Norway,Friendly,3
Sweden,Denmark,Friendly,2
Hungary,Austria,Friendly,4
Austria,Hungary,Friendly,2
Catalonia,Basque Country,Friendly,2
Denmark,Sweden,Friendly,2
Basque Country,Catalonia,Friendly,5
Norway,Denmark,Friendly,2
Chile,Uruguay,Copa América,4
Sweden,Norway,Friendly,6
Argentina,Chile,Copa América,5
Uruguay,Chile,Friendly,3
Argentina,Uruguay,Copa Newton,2
Argentina,Uruguay,Friendly,5
Sweden,Denmark,Friendly,4
Denmark,Norway,Friendly,8
Uruguay,Argentina,Friendly,2
Japan,Philippines,Friendly,13
Hungary,Austria,Friendly,4
Austria,Hungary,Friendly,3
Uruguay,Argentina,Copa Premio Honor Uruguayo,2
Norway,Sweden,Friendly,2
Uruguay,Chile,Copa América,4
Argentina,Brazil,Copa América,2
Denmark,Norway,Friendly,12
Uruguay,Brazil,Copa América,4
Brazil,Chile,Copa América,5
Uruguay,Brazil,Friendly,2
Hungary,Austria,Friendly,2
Austria,Switzerland,Friendly,4
Sweden,Norway,Friendly,2
Austria,Hungary,Friendly,2
Denmark,Sweden,Friendly,3
Norway,Denmark,Friendly,2
Uruguay,Argentina,Copa Premio Honor Uruguayo,2
Argentina,Uruguay,Copa Newton,2
Austria,Hungary,Friendly,3
Denmark,Norway,Friendly,4
Brazil,Chile,Copa América,6
Paraguay,Argentina,Friendly,4
Paraguay,Argentina,Friendly,3
Chile,Uruguay,Copa América,2
Brazil,Argentina,Copa América,2
Argentina,Chile,Copa América,3
Denmark,Sweden,Friendly,3
Netherlands,Sweden,Friendly,2
Denmark,Norway,Friendly,4
Uruguay,Argentina,Copa Premio Honor Uruguayo,3
Sweden,Netherlands,Friendly,3
Sweden,Norway,Friendly,4
Austria,Hungary,Friendly,2
Sweden,Denmark,Friendly,3
Argentina,Uruguay,Copa Premio Honor Argentino,5
Uruguay,Argentina,Friendly,2
Italy,France,Friendly,5
Switzerland,France,Friendly,2
Scotland,Northern Ireland,British Home Championship,3
Switzerland,Italy,Friendly,3
Netherlands,Denmark,Friendly,2
Sweden,Finland,Friendly,4
Norway,Sweden,Friendly,3
Switzerland,Germany,Friendly,3
Uruguay,Argentina,Copa Premio Honor Uruguayo,2
Argentina,Uruguay,Copa Newton,2
Brazil,Uruguay,Copa América,6
Argentina,Brazil,Copa América,2
Sweden,Denmark,Friendly,2
Finland,Estonia,Friendly,6
England,Northern Ireland,British Home Championship,2
Northern Ireland,Scotland,British Home Championship,2
Belgium,France,Friendly,2
Catalonia,Provence,Friendly,4
Paraguay,Argentina,Friendly,2
Scotland,England,British Home Championship,3
Austria,Hungary,Friendly,3
Belgium,England,Friendly,2
Sweden,Finland,Friendly,3
Japan,Philippines,Friendly,3
Hungary,Germany,Friendly,3
Norway,Sweden,Friendly,2
Sweden,Austria,Friendly,2
Estonia,Finland,Friendly,3
Costa Rica,El Salvador,Friendly,7
Guatemala,Costa Rica,Friendly,6
Sweden,Norway,Friendly,3
Denmark,Norway,Friendly,2
Brazil,Paraguay,Copa América,3
Argentina,Paraguay,Copa América,3
Czechoslovakia,Yugoslavia,Friendly,5
Uruguay,Paraguay,Friendly,2
Hungary,Sweden,Friendly,2
France,Netherlands,Friendly,5
Spain,Portugal,Friendly,2
Belgium,Netherlands,Friendly,4
Netherlands,Denmark,Friendly,2
Austria,Germany,Friendly,2
France,Spain,Friendly,4
Poland,Hungary,Friendly,3
Italy,Belgium,Friendly,2
Finland,Sweden,Friendly,3
Austria,Switzerland,Friendly,6
Denmark,Czechoslovakia,Friendly,3
Norway,France,Friendly,7
New Zealand,Australia,Friendly,2
New Zealand,Australia,Friendly,2
Finland,Hungary,Friendly,4
Finland,Estonia,Friendly,8
Sweden,Czechoslovakia,Friendly,2
Finland,Norway,Friendly,2
Chile,Uruguay,Copa América,2
Norway,Sweden,Friendly,5
Argentina,Chile,Copa América,4
Yugoslavia,Poland,Friendly,2
Chile,Paraguay,Copa América,3
Brazil,Argentina,Copa América,2
Argentina,Paraguay,Copa América,2
England,Northern Ireland,British Home Championship,2
Brazil,Paraguay,Copa América,3
Brazil,Paraguay,Friendly,2
Switzerland,Netherlands,Friendly,5
Galicia,Central Spain,Friendly,3
Italy,Germany,Friendly,2
Guatemala,Mexico,Friendly,2
Guatemala,Mexico,Friendly,3
Andalusia,Galicia,Friendly,3
Switzerland,Austria,Friendly,2
Spain,France,Friendly,3
Luxembourg,Brittany,Friendly,3
Belgium,France,Friendly,3
Galicia,Asturias,Friendly,2
Switzerland,Hungary,Friendly,5
Scotland,Wales,British Home Championship,2
England,Belgium,Friendly,5
Netherlands,France,Friendly,7
Wales,Northern Ireland,British Home Championship,3
Czechoslovakia,Denmark,Friendly,2
France,England,Friendly,3
Argentina,Paraguay,Copa Chevallier Boutell,2
Sweden,England,Friendly,2
China PR,Philippines,Friendly,3
Japan,China PR,Friendly,4
Sweden,England,Friendly,2
Czechoslovakia,Italy,Friendly,4
Sweden,Austria,Friendly,2
Norway,Finland,Friendly,3
Lithuania,Estonia,Friendly,5
Australia,New Zealand,Friendly,3
Romania,Czechoslovakia,Friendly,6
Hungary,Finland,Friendly,2
Estonia,Russia,Friendly,2
Finland,Poland,Friendly,2
Hungary,Austria,Friendly,2
Estonia,Poland,Friendly,3
Uruguay,Argentina,Copa Premio Honor Uruguayo,2
Sweden,Denmark,Friendly,2
France,Norway,Friendly,2
Brittany,Norway,Friendly,4
Uruguay,Paraguay,Copa América,2
Brazil,Paraguay,Friendly,2
Netherlands,Switzerland,Friendly,3
Argentina,Brazil,Friendly,2
Uruguay,Argentina,Copa América,2
Argentina,Brazil,Copa Roca,2
Mexico,Guatemala,Friendly,2
Spain,Portugal,Friendly,3
France,Belgium,Friendly,2
Italy,Austria,Friendly,4
Yugoslavia,Austria,Friendly,3
Wales,Scotland,British Home Championship,2
Scotland,Northern Ireland,British Home Championship,2
Catalonia,Spain,Friendly,7
Switzerland,France,Friendly,3
Aruba,Curaçao,Friendly,4
Hungary,Italy,Friendly,6
Switzerland,Denmark,Friendly,2
