home_team,away_team,tournament,difference
Sweden,Finland,Nordic Championship,3
Australia,South Africa,Friendly,3
Australia,South Africa,Friendly,2
Finland,Poland,Friendly,2
Russia,India,Friendly,10
Australia,South Africa,Friendly,8
Australia,South Africa,Friendly,6
Czechoslovakia,Belgium,Friendly,3
Yugoslavia,Germany,Friendly,2
Australia,South Africa,Friendly,3
Czechoslovakia,Hungary,Central European International Cup,2
Denmark,England,Friendly,4
Kenya,Zanzibar,Friendly,8
Tanzania,Uganda,Friendly,4
Hungary,Austria,Central European International Cup,5
Republic of Ireland,Yugoslavia,Friendly,3
Ghana,Nigeria,Friendly,7
England,Northern Ireland,British Home Championship,3
Netherlands,Norway,Friendly,3
Scotland,Wales,British Home Championship,2
Brazil,Paraguay,Copa Oswaldo Cruz,3
Bulgaria,Czechoslovakia,Friendly,3
Hungary,Sweden,Friendly,2
Germany,Norway,Friendly,2
Portugal,Sweden,Friendly,4
Hungary,Italy,Central European International Cup,2
England,Spain,Friendly,3
Suriname,Trinidad and Tobago,Friendly,3
Suriname,Trinidad and Tobago,Friendly,2
Pakistan,Myanmar,Friendly,2
Suriname,Trinidad and Tobago,Friendly,3
Turkey,Portugal,Friendly,2
Egypt,Portugal,Friendly,4
Myanmar,Sri Lanka,Friendly,2
Curaçao,Martinique,Friendly,2
Curaçao,Martinique,Friendly,2
Uruguay,Paraguay,Copa América,2
Brazil,Chile,Copa América,3
Uruguay,Peru,Copa América,2
Argentina,Chile,Copa América,2
Chile,Paraguay,Copa América,2
Italy,France,Friendly,2
Turkey,Hungary,Friendly,2
Philippines,South Korea,AFC Asian Cup qualification,2
Lebanon,Hungary,Friendly,3
Mexico,Peru,Pan American Championship,2
Argentina,Chile,Pan American Championship,3
Belgium,Switzerland,Friendly,2
Brazil,Costa Rica,Pan American Championship,6
Panama,Venezuela,Friendly,2
Haiti,Venezuela,Friendly,3
Costa Rica,Peru,Pan American Championship,2
Malaysia,Cambodia,AFC Asian Cup qualification,7
France,Austria,Friendly,2
Portugal,Turkey,Friendly,2
South Korea,Philippines,AFC Asian Cup qualification,3
Italy,Brazil,Friendly,3
Martinique,Guadeloupe,Friendly,3
Vietnam Republic,Malaysia,AFC Asian Cup qualification,4
England,Brazil,Friendly,2
Netherlands,Republic of Ireland,Friendly,3
Switzerland,Czechoslovakia,Central European International Cup,5
Finland,England,Friendly,4
Hungary,Czechoslovakia,Central European International Cup,2
Russia,Denmark,Friendly,4
Germany,England,Friendly,2
Portugal,Spain,Friendly,2
Finland,Sweden,Nordic Championship,2
Paraguay,Brazil,Copa Oswaldo Cruz,2
Norway,Germany,Friendly,2
Paraguay,Brazil,Copa Oswaldo Cruz,3
Romania,Sweden,Friendly,2
Brazil,Uruguay,Atlantic Cup,2
Romania,Norway,Friendly,2
Mauritius,Réunion,Friendly,5
Brazil,Italy,Friendly,2
Denmark,Russia,Friendly,3
Madagascar,Réunion,Friendly,2
Hungary,Poland,Friendly,3
Poland,German DR,Friendly,2
Russia,Lithuania,Friendly,2
Brazil,Czechoslovakia,Friendly,3
Russia,Belarus,Friendly,4
Yugoslavia,China PR,Friendly,4
Estonia,Lithuania,Friendly,2
Russia,Belarus,Friendly,2
Lithuania,Moldova,Friendly,3
Chile,Czechoslovakia,Friendly,3
South Korea,Taiwan,AFC Asian Cup qualification,2
Yugoslavia,Indonesia,Friendly,2
Bulgaria,Romania,Friendly,2
Croatia,Indonesia,Friendly,3
South Korea,Vietnam Republic,AFC Asian Cup,2
Finland,Denmark,Nordic Championship,4
Norway,Sweden,Nordic Championship,2
Yugoslavia,Hungary,Central European International Cup,2
Hong Kong,South Korea,Friendly,2
German DR,Indonesia,Friendly,2
Austria,Luxembourg,FIFA World Cup qualification,7
China PR,North Vietnam,Friendly,2
North Korea,North Vietnam,Friendly,3
Austria,Hungary,Friendly,2
Bulgaria,German DR,Friendly,2
Vietnam Republic,Thailand,Friendly,2
Nigeria,Ghana,Friendly,3
Poland,Norway,Friendly,2
Poland,Finland,Friendly,5
Philippines,United States,Friendly,4
France,Belgium,FIFA World Cup qualification,3
England,Wales,British Home Championship,2
Indonesia,United States,Friendly,2
Germany,Switzerland,Friendly,2
Scotland,Yugoslavia,Friendly,2
Republic of Ireland,Germany,Friendly,3
Tanzania,Kenya,Friendly,9
England,Yugoslavia,Friendly,3
Uganda,Zanzibar,Friendly,3
England,Denmark,FIFA World Cup qualification,3
Australia,India,Friendly,6
Singapore,Bulgaria,Friendly,8
Germany,Belgium,Friendly,3
Indonesia,Yugoslavia,Friendly,4
India,Yugoslavia,Friendly,3
Jamaica,Trinidad and Tobago,Friendly,2
Spain,Netherlands,Friendly,4
Guatemala,Costa Rica,FIFA World Cup qualification,4
Egypt,Ethiopia,African Cup of Nations,4
Costa Rica,Guatemala,FIFA World Cup qualification,2
Costa Rica,Curaçao,FIFA World Cup qualification,4
Ecuador,Uruguay,Copa América,3
German DR,Luxembourg,Friendly,3
Argentina,Colombia,Copa América,6
Brazil,Chile,Copa América,2
Guatemala,Curaçao,FIFA World Cup qualification,2
Argentina,Ecuador,Copa América,3
Argentina,Uruguay,Copa América,4
Netherlands,Luxembourg,FIFA World Cup qualification,3
Brazil,Ecuador,Copa América,6
Peru,Uruguay,Copa América,2
Brazil,Colombia,Copa América,9
Peru,Colombia,Copa América,3
Argentina,Chile,Copa América,4
Belgium,Spain,Friendly,5
Chile,Uruguay,Copa América,2
Colombia,Ecuador,Copa América,3
Argentina,Brazil,Copa América,3
Mexico,United States,FIFA World Cup qualification,6
Peru,Argentina,Friendly,3
Austria,Switzerland,Central European International Cup,4
Martinique,Guadeloupe,Friendly,5
United States,Mexico,FIFA World Cup qualification,5
Northern Ireland,Portugal,FIFA World Cup qualification,3
England,Republic of Ireland,FIFA World Cup qualification,4
Scotland,Spain,FIFA World Cup qualification,2
Indonesia,China PR,FIFA World Cup qualification,2
Yugoslavia,Italy,Central European International Cup,5
Denmark,England,FIFA World Cup qualification,3
Guadeloupe,Martinique,Friendly,3
Germany,Scotland,Friendly,2
Czechoslovakia,Wales,FIFA World Cup qualification,2
Portugal,Italy,FIFA World Cup qualification,3
Spain,Scotland,FIFA World Cup qualification,3
France,Iceland,FIFA World Cup qualification,8
Tunisia,Libya,Friendly,2
Belgium,Iceland,FIFA World Cup qualification,5
Paraguay,Bolivia,Copa Paz del Chaco,3
Brazil,Portugal,Friendly,3
Czechoslovakia,German DR,FIFA World Cup qualification,2
Finland,Denmark,Friendly,2
Denmark,Norway,Friendly,2
Finland,Sweden,Friendly,4
Canada,United States,FIFA World Cup qualification,4
Hungary,Bulgaria,FIFA World Cup qualification,3
Russia,Poland,FIFA World Cup qualification,3
Mexico,Canada,FIFA World Cup qualification,3
Mexico,Canada,FIFA World Cup qualification,2
Finland,Poland,FIFA World Cup qualification,2
Paraguay,Colombia,FIFA World Cup qualification,3
Iceland,Norway,Friendly,3
Brazil,Argentina,Copa Roca,2
Iceland,Denmark,Friendly,4
Denmark,Norway,Friendly,2
Paraguay,Uruguay,FIFA World Cup qualification,5
Bulgaria,Russia,Friendly,4
China PR,Sudan,Friendly,3
Uruguay,Paraguay,FIFA World Cup qualification,2
Curaçao,Haiti,CCCF Championship,2
Finland,Russia,FIFA World Cup qualification,10
Curaçao,Cuba,CCCF Championship,2
Cuba,Honduras,CCCF Championship,2
Curaçao,Panama,CCCF Championship,3
Cuba,Haiti,CCCF Championship,5
Malawi,Zambia,Friendly,5
Indonesia,Thailand,Merdeka Tournament,4
Cambodia,Thailand,Merdeka Tournament,3
Finland,Norway,Nordic Championship,4
Iceland,France,FIFA World Cup qualification,4
Malaysia,Myanmar,Merdeka Tournament,3
Myanmar,Cambodia,Merdeka Tournament,2
Malaysia,Vietnam Republic,Merdeka Tournament,3
Singapore,Thailand,Merdeka Tournament,6
Tanzania,Uganda,Friendly,2
Iceland,Belgium,FIFA World Cup qualification,3
Zanzibar,Kenya,Friendly,4
Myanmar,Thailand,Merdeka Tournament,3
Indonesia,Vietnam Republic,Merdeka Tournament,2
Malaysia,Indonesia,Merdeka Tournament,2
Netherlands,Luxembourg,FIFA World Cup qualification,3
New Caledonia,Tahiti,Friendly,2
Sweden,Finland,Nordic Championship,4
Wales,German DR,FIFA World Cup qualification,3
New Caledonia,Tahiti,Friendly,2
Bolivia,Chile,FIFA World Cup qualification,3
Luxembourg,Austria,FIFA World Cup qualification,3
Denmark,Republic of Ireland,FIFA World Cup qualification,2
Bolivia,Argentina,FIFA World Cup qualification,2
Hungary,France,Friendly,2
Chile,Argentina,FIFA World Cup qualification,2
Denmark,Finland,Nordic Championship,3
Sweden,Norway,Nordic Championship,3
Wales,England,British Home Championship,4
Argentina,Chile,FIFA World Cup qualification,4
Mexico,Costa Rica,FIFA World Cup qualification,2
Mauritius,Madagascar,Friendly,4
Argentina,Bolivia,FIFA World Cup qualification,4
German DR,Czechoslovakia,FIFA World Cup qualification,3
Cambodia,Malaysia,Friendly,2
Bulgaria,Norway,FIFA World Cup qualification,7
Poland,Finland,FIFA World Cup qualification,4
Romania,Greece,FIFA World Cup qualification,3
Hungary,Norway,FIFA World Cup qualification,5
Yugoslavia,Greece,FIFA World Cup qualification,3
Netherlands,Belgium,Friendly,3
Yugoslavia,Romania,FIFA World Cup qualification,2
Poland,Russia,FIFA World Cup qualification,2
Switzerland,Spain,FIFA World Cup qualification,3
England,France,Friendly,4
Italy,Portugal,FIFA World Cup qualification,3
Israel,Wales,FIFA World Cup qualification,2
Malta,Denmark,Friendly,3
Wales,Israel,FIFA World Cup qualification,2
Ghana,Togo,Friendly,3
Malaysia,Singapore,Friendly,3
Belgium,Germany,Friendly,2
Malaysia,Singapore,Friendly,2
Germany,Spain,Friendly,2
Morocco,Libya,Friendly,2
Belgium,Netherlands,Friendly,5
Scotland,England,British Home Championship,4
Hungary,Yugoslavia,Friendly,2
Zimbabwe,Zambia,Friendly,2
Netherlands,Curaçao,Friendly,7
Argentina,Paraguay,Friendly,2
Argentina,Uruguay,Friendly,2
Brazil,Paraguay,Copa Oswaldo Cruz,4
Singapore,Malaysia,Friendly,3
Tunisia,Libya,Friendly,3
Trinidad and Tobago,Jamaica,Friendly,4
Yugoslavia,England,Friendly,5
Philippines,Indonesia,Friendly,3
Austria,Republic of Ireland,Friendly,2
Brazil,Bulgaria,Friendly,4
Malaysia,Pakistan,Friendly,2
Brazil,Bulgaria,Friendly,2
Switzerland,Belgium,Friendly,2
Argentina,Germany,FIFA World Cup,2
Austria,Brazil,FIFA World Cup,3
France,Paraguay,FIFA World Cup,4
Sweden,Mexico,FIFA World Cup,3
Argentina,Northern Ireland,FIFA World Cup,2
Austria,Russia,FIFA World Cup,2
Argentina,Czechoslovakia,FIFA World Cup,5
Brazil,Russia,FIFA World Cup,2
Hungary,Mexico,FIFA World Cup,4
Norway,Finland,Nordic Championship,2
France,Northern Ireland,FIFA World Cup,4
Sweden,Russia,FIFA World Cup,2
Brazil,France,FIFA World Cup,3
Sweden,Germany,FIFA World Cup,2
France,Germany,FIFA World Cup,3
Sweden,Brazil,FIFA World Cup,3
Singapore,Indonesia,Friendly,5
Malaysia,Indonesia,Friendly,2
Finland,Sweden,Nordic Championship,6
Indonesia,Singapore,Merdeka Tournament,2
Indonesia,Vietnam Republic,Merdeka Tournament,3
Malaysia,Vietnam Republic,Merdeka Tournament,2
New Caledonia,New Zealand,Friendly,4
Zimbabwe,Zambia,Friendly,2
Finland,Denmark,Nordic Championship,3
Norway,Sweden,Nordic Championship,2
Poland,Hungary,Friendly,2
Russia,Hungary,UEFA Euro qualification,2
France,Greece,UEFA Euro qualification,6
Kenya,Tanzania,Friendly,2
Uganda,Tanzania,Friendly,2
Kenya,Zanzibar,Friendly,4
Kenya,Uganda,Friendly,2
Netherlands,Denmark,Friendly,4
Spain,Northern Ireland,Friendly,4
Réunion,Mauritius,Friendly,2
Wales,Scotland,British Home Championship,3
Réunion,Madagascar,Friendly,2
England,Russia,Friendly,5
German DR,Norway,Friendly,3
Netherlands,Switzerland,Friendly,2
Romania,Turkey,UEFA Euro qualification,3
Netherlands,South Africa,Friendly,6
Hungary,Belgium,Friendly,2
Germany,Bulgaria,Friendly,3
Hong Kong,Japan,Friendly,3
Malaysia,Japan,Friendly,4
Malaysia,Japan,Friendly,2
Mexico,Costa Rica,Friendly,2
Trinidad and Tobago,Barbados,Friendly,2
Barbados,Jamaica,Friendly,2
Argentina,Chile,Copa América,5
Bolivia,Uruguay,Copa América,7
Argentina,Bolivia,Copa América,2
Martinique,Guadeloupe,Friendly,3
Peru,Uruguay,Copa América,2
Bolivia,Paraguay,Copa América,5
Brazil,Chile,Copa América,3
Argentina,Peru,Copa América,2
Paraguay,Uruguay,Copa América,2
Bolivia,Brazil,Copa América,2
Argentina,Paraguay,Copa América,2
Bolivia,Chile,Copa América,3
Brazil,Uruguay,Copa América,2
Brazil,Paraguay,Copa América,3
Philippines,Hong Kong,AFC Asian Cup qualification,7
Argentina,Uruguay,Copa América,3
Philippines,Taiwan,AFC Asian Cup qualification,3
Republic of Ireland,Czechoslovakia,UEFA Euro qualification,2
Hungary,Yugoslavia,Friendly,4
Northern Ireland,Wales,British Home Championship,3
Switzerland,Yugoslavia,Central European International Cup,4
Turkey,Romania,UEFA Euro qualification,2
Uruguay,Paraguay,Friendly,2
Singapore,Vietnam Republic,AFC Asian Cup qualification,3
Czechoslovakia,Republic of Ireland,UEFA Euro qualification,4
Singapore,Malaysia,AFC Asian Cup qualification,3
Brazil,England,Friendly,2
Peru,England,Friendly,3
Sweden,Portugal,Friendly,2
Egypt,Ethiopia,African Cup of Nations,4
Belgium,Austria,Friendly,2
United States,England,Friendly,7
Martinique,Suriname,Friendly,2
Martinique,Suriname,Friendly,3
Yugoslavia,Bulgaria,UEFA Euro qualification,2
Guadeloupe,Suriname,Friendly,2
Austria,Belgium,Friendly,2
Denmark,Sweden,Nordic Championship,6
German DR,Portugal,UEFA Euro qualification,2
Poland,Israel,Friendly,5
Finland,Norway,Nordic Championship,2
Poland,Spain,UEFA Euro qualification,2
Tahiti,New Caledonia,Friendly,2
Tahiti,New Caledonia,Friendly,2
Sweden,Finland,Nordic Championship,2
Hong Kong,Taiwan,Friendly,2
India,Singapore,Merdeka Tournament,2
South Korea,Singapore,Merdeka Tournament,3
Japan,Singapore,Merdeka Tournament,3
Japan,South Korea,Merdeka Tournament,2
Russia,Czechoslovakia,Friendly,2
Malaysia,South Korea,Friendly,2
India,Vietnam Republic,Friendly,4
Singapore,South Korea,Friendly,4
Brazil,Chile,Copa Bernardo O'Higgins,7
Austria,Norway,UEFA Euro qualification,3
Suriname,Martinique,Friendly,3
Northern Ireland,Scotland,British Home Championship,4
Denmark,Finland,Nordic Championship,4
Netherlands,Belgium,Friendly,8
Switzerland,Germany,Friendly,4
Kenya,Zanzibar,Friendly,5
Tanzania,Kenya,Friendly,2
Yugoslavia,Hungary,Friendly,2
Spain,Poland,UEFA Euro qualification,3
Czechoslovakia,Denmark,UEFA Euro qualification,4
Sweden,Norway,Nordic Championship,4
Germany,Netherlands,Friendly,7
North Korea,North Vietnam,Friendly,5
Hungary,Switzerland,Central European International Cup,8
China PR,North Vietnam,Friendly,2
Netherlands,Norway,Friendly,6
France,Portugal,Friendly,2
Chile,Argentina,Friendly,2
Ghana,Nigeria,Friendly,3
Spain,Austria,Friendly,3
Nigeria,Benin,Friendly,9
Greece,Denmark,Friendly,2
Iran,Israel,AFC Asian Cup qualification,3
Ecuador,Uruguay,Copa América,4
India,Israel,AFC Asian Cup qualification,2
Argentina,Paraguay,Copa América,2
Israel,Pakistan,AFC Asian Cup qualification,2
Brazil,Uruguay,Copa América,3
France,Austria,UEFA Euro qualification,3
Costa Rica,Honduras,Friendly,5
Argentina,Uruguay,Copa América,5
Ecuador,Brazil,Copa América,2
Argentina,Brazil,Copa América,3
Ecuador,Paraguay,Copa América,2
Morocco,Yugoslavia,Friendly,5
Tunisia,Yugoslavia,Friendly,4
Italy,Switzerland,Central European International Cup,3
Ghana,Sierra Leone,Friendly,4
Costa Rica,Curaçao,CCCF Championship,4
Costa Rica,Brazil,Pan American Championship,3
Spain,Italy,Friendly,2
Costa Rica,Argentina,Pan American Championship,2
France,Chile,Friendly,6
Argentina,Mexico,Pan American Championship,2
Costa Rica,Brazil,Pan American Championship,4
Austria,France,UEFA Euro qualification,2
Belgium,Switzerland,Friendly,2
Republic of Ireland,Chile,Friendly,2
Netherlands,Bulgaria,Friendly,2
Switzerland,Chile,Friendly,2
Cameroon,Djibouti,Friendly,7
Madagascar,Burkina Faso,Friendly,5
Indonesia,Malaysia,Friendly,5
Egypt,Brazil,Friendly,5
Czechoslovakia,Austria,Friendly,4
Egypt,Brazil,Friendly,2
Singapore,India,Friendly,3
Egypt,Brazil,Friendly,3
Spain,England,Friendly,3
Sweden,Republic of Ireland,Friendly,3
Switzerland,Netherlands,Friendly,2
Russia,Poland,Friendly,6
Bulgaria,Belgium,Friendly,3
Hungary,England,Friendly,2
Romania,Czechoslovakia,UEFA Euro qualification,2
Yugoslavia,Portugal,UEFA Euro qualification,4
Argentina,Brazil,Copa Roca,2
Denmark,Norway,Nordic Championship,3
Argentina,Brazil,Copa Roca,3
Austria,Scotland,Friendly,3
Czechoslovakia,Romania,UEFA Euro qualification,3
Turkey,Scotland,Friendly,2
Norway,Iceland,Friendly,4
Finland,Sweden,Nordic Championship,3
Mexico,Netherlands,Friendly,2
Poland,Bulgaria,Friendly,4
Brazil,Chile,Friendly,4
Denmark,Greece,Friendly,5
Czechoslovakia,Russia,UEFA Euro,3
France,Czechoslovakia,UEFA Euro,2
Bulgaria,German DR,Friendly,2
Peru,Spain,Friendly,2
Brazil,Argentina,Atlantic Cup,4
Chile,Spain,Friendly,4
Chile,Spain,Friendly,3
Argentina,Spain,Friendly,2
Iceland,Germany,Friendly,5
Malaysia,Japan,Merdeka Tournament,3
Pakistan,Thailand,Merdeka Tournament,7
South Korea,Indonesia,Merdeka Tournament,2
Yugoslavia,Tunisia,Friendly,7
Malaysia,Thailand,Merdeka Tournament,6
Indonesia,Singapore,Merdeka Tournament,5
Pakistan,Japan,Merdeka Tournament,2
Japan,Thailand,Merdeka Tournament,2
Indonesia,Vietnam Republic,Merdeka Tournament,2
Indonesia,Pakistan,Merdeka Tournament,4
Argentina,Uruguay,Atlantic Cup,4
Singapore,Pakistan,Friendly,3
Indonesia,Pakistan,Friendly,3
Ghana,Nigeria,FIFA World Cup qualification,3
Norway,Finland,Nordic Championship,3
Austria,Russia,Friendly,2
Tahiti,New Zealand,Friendly,4
Costa Rica,Honduras,FIFA World Cup qualification,5
Norway,Sweden,Nordic Championship,2
Trinidad and Tobago,Martinique,Friendly,2
Belgium,Netherlands,Friendly,3
Ghana,Mali,Friendly,4
Nigeria,Guinea-Bissau,Friendly,3
North Vietnam,Mongolia,Friendly,2
China PR,Mongolia,Friendly,5
North Vietnam,North Korea,Friendly,2
Northern Ireland,England,British Home Championship,3
Nigeria,Ghana,Friendly,3
Kenya,Zanzibar,Friendly,3
Mongolia,North Korea,Friendly,9
Uganda,Zanzibar,Friendly,3
Kenya,Tanzania,Friendly,5
Switzerland,France,Friendly,4
South Korea,Vietnam Republic,AFC Asian Cup,4
Tanzania,Zanzibar,Friendly,2
Taiwan,Vietnam Republic,AFC Asian Cup,2
South Korea,Israel,AFC Asian Cup,3
Israel,Vietnam Republic,AFC Asian Cup,4
Luxembourg,England,FIFA World Cup qualification,9
Sweden,Belgium,FIFA World Cup qualification,2
Wales,Scotland,British Home Championship,2
Sweden,Denmark,Nordic Championship,2
England,Spain,Friendly,2
Austria,Spain,Friendly,3
Czechoslovakia,Netherlands,Friendly,4
German DR,Finland,Friendly,4
Republic of Ireland,Norway,Friendly,2
Mexico,United States,FIFA World Cup qualification,3
Scotland,Northern Ireland,British Home Championship,3
Hungary,Poland,Friendly,3
Belgium,Switzerland,FIFA World Cup qualification,2
Greece,Germany,FIFA World Cup qualification,3
Hungary,Austria,Friendly,2
England,Wales,British Home Championship,4
Israel,Cyprus,FIFA World Cup qualification,5
Ecuador,Argentina,FIFA World Cup qualification,3
Tunisia,German DR,Friendly,3
France,Bulgaria,FIFA World Cup qualification,3
Argentina,Ecuador,FIFA World Cup qualification,5
Chile,Paraguay,Friendly,3
Chile,Paraguay,Friendly,2
Saint Lucia,Dominica,Windward Islands Tournament,3
Grenada,Saint Vincent and the Grenadines,Windward Islands Tournament,3
Saint Lucia,Grenada,Windward Islands Tournament,4
Dominica,Grenada,Windward Islands Tournament,7
Colombia,United States,Friendly,2
Egypt,Hungary,Friendly,2
Costa Rica,Cuba,CCCF Championship,3
Ghana,Mali,Friendly,3
Guatemala,Haiti,CCCF Championship,2
Curaçao,Honduras,CCCF Championship,2
Cuba,Guatemala,CCCF Championship,2
Haiti,Panama,CCCF Championship,2
Haiti,Honduras,CCCF Championship,2
Chile,Peru,Friendly,3
Portugal,Luxembourg,FIFA World Cup qualification,6
Netherlands,Belgium,Friendly,4
Panama,Haiti,Friendly,3
Panama,Haiti,Friendly,2
Chile,Germany,Friendly,2
Costa Rica,Curaçao,FIFA World Cup qualification,6
Spain,France,Friendly,2
Mexico,Curaçao,FIFA World Cup qualification,7
Mexico,Costa Rica,FIFA World Cup qualification,3
Northern Ireland,Wales,British Home Championship,4
England,Scotland,British Home Championship,6
Hungary,German DR,FIFA World Cup qualification,2
Sierra Leone,Nigeria,Friendly,3
Curaçao,Costa Rica,FIFA World Cup qualification,2
Netherlands,Hungary,FIFA World Cup qualification,3
Paraguay,Brazil,Copa Oswaldo Cruz,2
Scotland,Republic of Ireland,FIFA World Cup qualification,3
Republic of Ireland,Scotland,FIFA World Cup qualification,3
Yugoslavia,Hungary,Friendly,2
England,Mexico,Friendly,8
Czechoslovakia,Scotland,FIFA World Cup qualification,4
Austria,England,Friendly,2
Sweden,Switzerland,FIFA World Cup qualification,4
Ghana,Nigeria,Friendly,3
Portugal,Argentina,Friendly,2
Japan,South Korea,FIFA World Cup qualification,2
Spain,Argentina,Friendly,2
Italy,Argentina,Friendly,3
Finland,Bulgaria,FIFA World Cup qualification,2
Finland,Norway,Nordic Championship,3
Russia,Norway,FIFA World Cup qualification,3
Malaysia,Vietnam Republic,Merdeka Tournament,2
India,Japan,Merdeka Tournament,2
Sweden,Finland,Nordic Championship,4
Singapore,Thailand,Merdeka Tournament,2
Indonesia,Japan,Friendly,2
India,Vietnam Republic,Friendly,2
Norway,Russia,FIFA World Cup qualification,3
New Caledonia,Tahiti,Friendly,3
Norway,Denmark,Nordic Championship,4
Germany,Denmark,Friendly,4
England,Luxembourg,FIFA World Cup qualification,3
France,Finland,FIFA World Cup qualification,4
Tanzania,Uganda,Friendly,2
Belgium,Sweden,FIFA World Cup qualification,2
Kenya,Zanzibar,Friendly,10
Tanzania,Zanzibar,Friendly,3
Northern Ireland,Scotland,British Home Championship,5
Republic of Ireland,Czechoslovakia,FIFA World Cup qualification,2
Luxembourg,Portugal,FIFA World Cup qualification,2
Poland,Germany,Friendly,2
Romania,Turkey,Friendly,4
Yugoslavia,South Korea,FIFA World Cup qualification,4
Argentina,Paraguay,Friendly,4
Denmark,Finland,Nordic Championship,8
Israel,Italy,FIFA World Cup qualification,2
Northern Ireland,Greece,FIFA World Cup qualification,2
Belgium,France,Friendly,3
Vietnam Republic,Indonesia,Vietnam Independence Cup,3
Poland,German DR,Friendly,2
Sweden,Norway,Nordic Championship,2
Indonesia,Malaysia,Vietnam Independence Cup,2
England,Portugal,FIFA World Cup qualification,2
Myanmar,South Korea,Friendly,3
Bulgaria,Finland,FIFA World Cup qualification,2
Czechoslovakia,Republic of Ireland,FIFA World Cup qualification,6
Uganda,Kenya,African Cup of Nations qualification,2
Italy,Israel,FIFA World Cup qualification,6
Poland,Denmark,Friendly,5
Scotland,Wales,British Home Championship,2
Netherlands,Belgium,Friendly,4
South Korea,Yugoslavia,FIFA World Cup qualification,2
Czechoslovakia,Scotland,FIFA World Cup qualification,2
Kenya,Zanzibar,Friendly,4
Panama,Venezuela,Friendly,4
Uganda,Zanzibar,Friendly,2
Indonesia,Yugoslavia,Friendly,4
Kenya,Uganda,Friendly,3
Chile,Hungary,Friendly,4
Tanzania,Kenya,Friendly,2
Morocco,German DR,Friendly,2
Panama,Venezuela,Friendly,3
Israel,Yugoslavia,Friendly,2
Ghana,Nigeria,Friendly,4
Belgium,Bulgaria,Friendly,4
Ethiopia,Kenya,Friendly,5
Ethiopia,Tunisia,African Cup of Nations,2
Tunisia,Uganda,African Cup of Nations,3
Ethiopia,Egypt,African Cup of Nations,2
Mali,Ivory Coast,Friendly,4
Mali,Ivory Coast,Friendly,2
Libya,Tunisia,Friendly,3
Belgium,Netherlands,Friendly,2
England,Austria,Friendly,2
Sweden,Czechoslovakia,Friendly,2
France,Poland,Friendly,2
Germany,Uruguay,Friendly,3
Luxembourg,Russia,Friendly,2
Wales,Northern Ireland,British Home Championship,4
Scotland,England,British Home Championship,2
Morocco,Poland,Friendly,2
Sweden,Russia,Friendly,2
Brazil,Paraguay,Copa Oswaldo Cruz,6
Czechoslovakia,Uruguay,Friendly,2
Brazil,Paraguay,Copa Oswaldo Cruz,4
Russia,Uruguay,Friendly,5
Austria,Bulgaria,Friendly,2
England,Switzerland,Friendly,2
Netherlands,Northern Ireland,Friendly,4
Brazil,Wales,Friendly,2
Belgium,Italy,Friendly,2
Brazil,Wales,Friendly,2
Yugoslavia,German DR,Friendly,2
Peru,England,Friendly,4
Jamaica,Haiti,Friendly,2
German DR,Denmark,Friendly,3
Jamaica,Haiti,Friendly,3
Poland,Belgium,Friendly,2
Brazil,Mexico,FIFA World Cup,2
Chile,Switzerland,FIFA World Cup,2
Russia,Yugoslavia,FIFA World Cup,2
Argentina,England,FIFA World Cup,2
Chile,Italy,FIFA World Cup,2
New Zealand,New Caledonia,Friendly,3
Uruguay,Yugoslavia,FIFA World Cup,2
Bulgaria,Hungary,FIFA World Cup,5
New Zealand,New Caledonia,Friendly,2
Chile,Germany,FIFA World Cup,2
Colombia,Yugoslavia,FIFA World Cup,5
Czechoslovakia,Mexico,FIFA World Cup,2
Italy,Switzerland,FIFA World Cup,3
Singapore,Hong Kong,Friendly,4
Brazil,England,FIFA World Cup,2
Denmark,Norway,Nordic Championship,5
Chile,Brazil,FIFA World Cup,2
Czechoslovakia,Yugoslavia,FIFA World Cup,2
Brazil,Czechoslovakia,FIFA World Cup,2
Finland,Sweden,Nordic Championship,3
Norway,Sweden,UEFA Euro qualification,2
Denmark,Malta,UEFA Euro qualification,5
Norway,Malta,Friendly,5
Kenya,Zanzibar,Friendly,5
Iceland,Norway,Friendly,2
Gabon,Congo,Friendly,2
Thailand,Taiwan,Friendly,4
Bolivia,Paraguay,Copa Paz del Chaco,2
Republic of Ireland,Iceland,UEFA Euro qualification,2
Argentina,Uruguay,Copa Lipton,2
Suriname,Guadeloupe,Friendly,2
Uganda,Kenya,Friendly,2
Poland,Hungary,Friendly,2
Netherlands,Curaçao,Friendly,8
Denmark,Curaçao,Friendly,2
Indonesia,Singapore,Merdeka Tournament,2
Indonesia,Philippines,Merdeka Tournament,9
Philippines,Singapore,Merdeka Tournament,5
Myanmar,Japan,Merdeka Tournament,2
Austria,Czechoslovakia,Friendly,6
Congo,Gabon,Friendly,2
Finland,Denmark,Nordic Championship,5
Philippines,Vietnam Republic,Merdeka Tournament,6
Yugoslavia,Ethiopia,Friendly,3
Denmark,Netherlands,Friendly,3
Ghana,Kenya,Friendly,3
Romania,Morocco,Friendly,4
Poland,Northern Ireland,UEFA Euro qualification,2
Turkey,Ethiopia,Friendly,3
Uganda,Ghana,Friendly,3
Kenya,Ghana,Friendly,4
South Korea,Indonesia,Friendly,2
Belgium,Netherlands,Friendly,2
South Korea,Indonesia,Friendly,2
