country,tournament,goals
Panama,FIFA World Cup,2
Panama,FIFA World Cup qualification,131
Panama,Gold Cup,78
Panama,Gold Cup qualification,0
Panama,Kirin Challenge Cup,0
Panama,Pan American Championship,5
Panama,UNCAF Cup,50
Panjab,CONIFA World Football Cup,27
Papua New Guinea,FIFA World Cup qualification,33
Papua New Guinea,MSG Prime Minister's Cup,2
Papua New Guinea,Merdeka Tournament,4
Papua New Guinea,Oceania Nations Cup,23
Papua New Guinea,Oceania Nations Cup qualification,29
Papua New Guinea,Pacific Games,39
Papua New Guinea,South Pacific Games,139
Paraguay,Atlantic Cup,5
Paraguay,Brazil Independence Cup,12
Paraguay,Copa América,269
Paraguay,Copa Artigas,9
Paraguay,Copa Chevallier Boutell,39
Paraguay,Copa Félix Bogado,8
Paraguay,Copa Oswaldo Cruz,14
Paraguay,Copa Paz del Chaco,35
Paraguay,FIFA World Cup,30
Paraguay,FIFA World Cup qualification,214
Paraguay,Kirin Challenge Cup,0
Paraguay,Kirin Cup,4
Paraguay,Lunar New Year Cup,4
Parishes of Jersey,Atlantic Heritage Cup,9
Peru,Bolivarian Games,15
Peru,Brazil Independence Cup,5
Peru,Copa América,230
Peru,Copa Ramón Castilla,4
Peru,Copa del Pacífico,19
Peru,FIFA World Cup,21
Peru,FIFA World Cup qualification,184
Peru,Gold Cup,7
Peru,Kirin Cup,2
Peru,Nehru Cup,2
Peru,Pan American Championship,20
Peru,USA Cup,1
Philippines,AFC Asian Cup,1
Philippines,AFC Asian Cup qualification,24
Philippines,AFC Challenge Cup,17
Philippines,AFC Challenge Cup qualification,23
Philippines,AFF Championship,58
Philippines,Dragon Cup,10
Philippines,FIFA World Cup qualification,29
Philippines,Indonesia Tournament,3
Philippines,King's Cup,0
Philippines,Korea Cup,0
Philippines,Merdeka Tournament,17
Poland,Balkan Cup,6
Poland,Cyprus International Tournament,6
Poland,FIFA World Cup,49
Poland,FIFA World Cup qualification,260
Poland,King's Cup,9
Poland,Lunar New Year Cup,0
Poland,Nehru Cup,5
Poland,UEFA Euro,11
Poland,UEFA Euro qualification,192
Poland,UEFA Nations League,16
Portugal,Brazil Independence Cup,17
Portugal,Confederations Cup,9
Portugal,FIFA World Cup,61
Portugal,FIFA World Cup qualification,284
Portugal,UEFA Euro,56
Portugal,UEFA Euro qualification,252
Portugal,UEFA Nations League,32
Portugal,USA Cup,0
Provence,Viva World Cup,38
Puerto Rico,CFU Caribbean Cup,4
Puerto Rico,CFU Caribbean Cup qualification,59
Puerto Rico,CONCACAF Championship qualification,1
Puerto Rico,CONCACAF Nations League,45
Puerto Rico,CONCACAF Nations League qualification,0
Puerto Rico,FIFA World Cup qualification,31
Puerto Rico,Gold Cup qualification,0
Qatar,AFC Asian Cup,52
Qatar,AFC Asian Cup qualification,78
Qatar,Arab Cup,22
Qatar,Copa América,2
Qatar,FIFA World Cup,1
Qatar,FIFA World Cup qualification,210
Qatar,Gold Cup,15
Qatar,Gulf Cup,143
Qatar,King's Cup,16
Qatar,Palestine Cup,5
Qatar,WAFF Championship,12
Raetia,CONIFA World Football Cup,3
Raetia,CONIFA World Football Cup qualification,8
Raetia,Viva World Cup,1
Republic of Ireland,Brazil Independence Cup,7
Republic of Ireland,FIFA World Cup,10
Republic of Ireland,FIFA World Cup qualification,210
Republic of Ireland,Kirin Cup,1
Republic of Ireland,Nations Cup,9
Republic of Ireland,UEFA Euro,6
Republic of Ireland,UEFA Euro qualification,199
Republic of Ireland,UEFA Nations League,10
Republic of Ireland,USA Cup,14
Republic of St. Pauli,FIFI Wild Cup,10
Rhodes,Island Games,29
Romani people,CONIFA European Football Cup,7
Romania,Balkan Cup,95
Romania,Cyprus International Tournament,21
Romania,FIFA World Cup,30
Romania,FIFA World Cup qualification,238
Romania,Korea Cup,4
Romania,Lunar New Year Cup,2
Romania,Millennium Cup,4
Romania,UEFA Euro,10
Romania,UEFA Euro qualification,242
Romania,UEFA Nations League,22
Russia,Brazil Independence Cup,1
Russia,Confederations Cup,3
Russia,Cyprus International Tournament,1
Russia,FIFA World Cup,77
Russia,FIFA World Cup qualification,246
Russia,King's Cup,0
Russia,Lunar New Year Cup,3
Russia,Malta International Tournament,8
Russia,Nehru Cup,19
Russia,UEFA Euro,40
Russia,UEFA Euro qualification,265
Russia,UEFA Nations League,13
Rwanda,African Cup of Nations,3
Rwanda,African Cup of Nations qualification,44
Rwanda,African Nations Championship,8
Rwanda,African Nations Championship qualification,2
Rwanda,Afro-Asian Games,3
Rwanda,CECAFA Cup,106
Rwanda,FIFA World Cup qualification,45
Réunion,African Nations Championship,39
Saare County,Island Games,41
Saarland,FIFA World Cup qualification,4
Saint Helena,Inter Games Football Tournament,2
Saint Helena,Island Games,2
Saint Kitts and Nevis,CFU Caribbean Cup,21
Saint Kitts and Nevis,CFU Caribbean Cup qualification,127
Saint Kitts and Nevis,CONCACAF Nations League,21
Saint Kitts and Nevis,CONCACAF Nations League qualification,11
Saint Kitts and Nevis,FIFA World Cup qualification,72
Saint Kitts and Nevis,Gold Cup,0
Saint Kitts and Nevis,Gold Cup qualification,4
Saint Kitts and Nevis,SKN Football Festival,18
Saint Lucia,CFU Caribbean Cup,9
Saint Lucia,CFU Caribbean Cup qualification,84
Saint Lucia,CONCACAF Nations League,20
Saint Lucia,CONCACAF Nations League qualification,7
Saint Lucia,FIFA World Cup qualification,32
Saint Lucia,Gold Cup qualification,20
Saint Lucia,Windward Islands Tournament,78
Saint Martin,CFU Caribbean Cup qualification,18
Saint Martin,CONCACAF Nations League,29
Saint Martin,CONCACAF Nations League qualification,5
Saint Martin,Gold Cup qualification,4
Saint Pierre and Miquelon,African Nations Championship,2
Saint Vincent and the Grenadines,CFU Caribbean Cup,22
Saint Vincent and the Grenadines,CFU Caribbean Cup qualification,63
Saint Vincent and the Grenadines,CONCACAF Nations League,24
Saint Vincent and the Grenadines,CONCACAF Nations League qualification,5
Saint Vincent and the Grenadines,FIFA World Cup qualification,80
Saint Vincent and the Grenadines,Gold Cup,0
Saint Vincent and the Grenadines,Gold Cup qualification,1
Saint Vincent and the Grenadines,Windward Islands Tournament,69
Samoa,FIFA World Cup qualification,27
Samoa,Oceania Nations Cup,1
Samoa,Oceania Nations Cup qualification,21
Samoa,Pacific Games,2
Samoa,South Pacific Games,19
San Marino,FIFA World Cup qualification,12
San Marino,UEFA Euro qualification,11
San Marino,UEFA Nations League,0
Sark,Island Games,0
Saudi Arabia,AFC Asian Cup,69
Saudi Arabia,AFC Asian Cup qualification,102
Saudi Arabia,Arab Cup,39
Saudi Arabia,Confederations Cup,13
Saudi Arabia,FIFA World Cup,14
Saudi Arabia,FIFA World Cup qualification,272
Saudi Arabia,Gulf Cup,169
Saudi Arabia,OSN Cup,1
Saudi Arabia,Palestine Cup,1
Saudi Arabia,WAFF Championship,2
Scotland,Brazil Independence Cup,2
Scotland,British Home Championship,555
Scotland,FIFA World Cup,25
Scotland,FIFA World Cup qualification,210
Scotland,Kirin Cup,7
Scotland,Nations Cup,6
Scotland,Rous Cup,4
Scotland,UEFA Euro,5
Scotland,UEFA Euro qualification,190
Scotland,UEFA Nations League,26
Senegal,African Cup of Nations,78
Senegal,African Cup of Nations qualification,180
Senegal,African Nations Championship,10
Senegal,African Nations Championship qualification,4
Senegal,Amílcar Cabral Cup,101
Senegal,COSAFA Cup,8
Senegal,Dakar Tournament,2
Senegal,FIFA World Cup,16
Senegal,FIFA World Cup qualification,110
Senegal,Kirin Cup,2
Senegal,Merdeka Tournament,9
Serbia,Cyprus International Tournament,2
Serbia,FIFA World Cup,16
Serbia,FIFA World Cup qualification,157
Serbia,Kirin Challenge Cup,0
Serbia,Kirin Cup,2
Serbia,Korea Cup,4
Serbia,Lunar New Year Cup,2
Serbia,Millennium Cup,10
Serbia,UEFA Euro,8
Serbia,UEFA Euro qualification,107
Serbia,UEFA Nations League,33
Seychelles,African Cup of Nations qualification,18
Seychelles,African Nations Championship,4
Seychelles,African Nations Championship qualification,1
Seychelles,CECAFA Cup,3
Seychelles,COSAFA Cup,9
Seychelles,COSAFA Cup qualification,8
Seychelles,FIFA World Cup qualification,6
Seychelles,Mahinda Rajapaksa Cup,5
Shetland,Inter Games Football Tournament,8
Shetland,Island Games,89
Sierra Leone,African Cup of Nations,4
Sierra Leone,African Cup of Nations qualification,83
Sierra Leone,African Nations Championship,4
Sierra Leone,Amílcar Cabral Cup,49
Sierra Leone,FIFA World Cup qualification,41
Singapore,AFC Asian Cup,3
Singapore,AFC Asian Cup qualification,55
Singapore,AFF Championship,106
Singapore,Dunhill Cup,1
Singapore,FIFA World Cup qualification,82
Singapore,Indonesia Tournament,4
Singapore,King's Cup,41
Singapore,Kirin Cup,0
Singapore,Korea Cup,9
Singapore,Merdeka Tournament,129
Singapore,Merlion Cup,26
Singapore,VFF Cup,2
Singapore,Vietnam Independence Cup,14
Sint Maarten,CFU Caribbean Cup,2
Sint Maarten,CFU Caribbean Cup qualification,28
Sint Maarten,CONCACAF Nations League,31
Sint Maarten,CONCACAF Nations League qualification,4
Sint Maarten,Gold Cup qualification,1
Slovakia,Cyprus International Tournament,13
Slovakia,FIFA World Cup,5
Slovakia,FIFA World Cup qualification,127
Slovakia,King's Cup,2
Slovakia,Kirin Cup,4
Slovakia,Merdeka Tournament,2
Slovakia,UEFA Euro,5
Slovakia,UEFA Euro qualification,126
Slovakia,UEFA Nations League,15
Slovakia,United Arab Emirates Friendship Tournament,2
Slovenia,Cyprus International Tournament,5
Slovenia,FIFA World Cup,5
Slovenia,FIFA World Cup qualification,94
Slovenia,Lunar New Year Cup,1
Slovenia,Malta International Tournament,12
Slovenia,UEFA Euro,4
Slovenia,UEFA Euro qualification,119
Slovenia,UEFA Nations League,19
Solomon Islands,FIFA World Cup qualification,81
Solomon Islands,MSG Prime Minister's Cup,3
Solomon Islands,Oceania Nations Cup,31
Solomon Islands,Oceania Nations Cup qualification,28
Solomon Islands,Pacific Games,51
Solomon Islands,Pacific Mini Games,16
Solomon Islands,South Pacific Games,131
Somalia,African Cup of Nations qualification,3
Somalia,African Nations Championship,1
Somalia,African Nations Championship qualification,2
Somalia,Arab Cup qualification,4
Somalia,CECAFA Cup,30
Somalia,FIFA World Cup qualification,4
Somaliland,CONIFA World Football Cup,10
South Africa,African Cup of Nations,48
South Africa,African Cup of Nations qualification,71
South Africa,African Nations Championship,13
South Africa,African Nations Championship qualification,2
South Africa,COSAFA Cup,69
South Africa,COSAFA Cup qualification,4
South Africa,Confederations Cup,9
South Africa,FIFA World Cup,11
South Africa,FIFA World Cup qualification,74
South Africa,Gold Cup,7
South Africa,Simba Tournament,10
South Africa,USA Cup,3
South Korea,AFC Asian Cup,106
South Korea,AFC Asian Cup qualification,132
South Korea,Confederations Cup,3
South Korea,Dynasty Cup,20
South Korea,EAFF Championship,33
South Korea,FIFA World Cup,39
South Korea,FIFA World Cup qualification,304
South Korea,Gold Cup,5
South Korea,Indonesia Tournament,24
South Korea,King's Cup,82
South Korea,Korea Cup,173
South Korea,Lunar New Year Cup,7
South Korea,Malta International Tournament,4
South Korea,Merdeka Tournament,194
South Korea,Nehru Cup,5
South Korea,United Arab Emirates Friendship Tournament,15
South Korea,Vietnam Independence Cup,11
South Ossetia,CONIFA European Football Cup,9
South Ossetia,CONIFA World Football Cup,21
South Sudan,African Cup of Nations qualification,23
South Sudan,African Nations Championship,5
South Sudan,African Nations Championship qualification,1
South Sudan,CECAFA Cup,7
South Sudan,FIFA World Cup qualification,2
Spain,Confederations Cup,26
Spain,FIFA World Cup,108
Spain,FIFA World Cup qualification,291
Spain,UEFA Euro,68
Spain,UEFA Euro qualification,339
Spain,UEFA Nations League,38
Sri Lanka,AFC Asian Cup qualification,20
Sri Lanka,AFC Challenge Cup,14
Sri Lanka,AFC Challenge Cup qualification,26
Sri Lanka,FIFA World Cup qualification,27
Sri Lanka,Indonesia Tournament,5
Sri Lanka,King's Cup,1
Sri Lanka,Korea Cup,0
Sri Lanka,Mahinda Rajapaksa Cup,9
Sri Lanka,Merdeka Tournament,4
Sri Lanka,Nehru Cup,6
Sri Lanka,SAFF Cup,44
Sudan,African Cup of Nations,29
Sudan,African Cup of Nations qualification,107
Sudan,African Nations Championship,7
Sudan,African Nations Championship qualification,2
Sudan,Arab Cup,7
Sudan,Arab Cup qualification,9
Sudan,CECAFA Cup,96
Sudan,FIFA World Cup qualification,66
Sudan,Jordan International Tournament,5
Sudan,Korea Cup,7
Sudan,Kuneitra Cup,13
Sudan,Nile Basin Tournament,3
Sudan,Palestine Cup,3
Sudan,United Arab Emirates Friendship Tournament,4
Suriname,ABCS Tournament,25
Suriname,CCCF Championship,0
Suriname,CFU Caribbean Cup,30
Suriname,CFU Caribbean Cup qualification,125
Suriname,CONCACAF Championship,8
Suriname,CONCACAF Championship qualification,34
Suriname,CONCACAF Nations League,24
Suriname,CONCACAF Nations League qualification,8
Suriname,FIFA World Cup qualification,71
Suriname,Gold Cup,3
Suriname,Gold Cup qualification,8
Sweden,Cyprus International Tournament,3
Sweden,FIFA World Cup,80
Sweden,FIFA World Cup qualification,280
Sweden,King's Cup,29
Sweden,Lunar New Year Cup,1
Sweden,Nordic Championship,363
Sweden,UEFA Euro,30
Sweden,UEFA Euro qualification,211
Sweden,UEFA Nations League,17
Switzerland,Central European International Cup,78
Switzerland,Cyprus International Tournament,3
Switzerland,FIFA World Cup,55
Switzerland,FIFA World Cup qualification,220
Switzerland,Lunar New Year Cup,1
Switzerland,Tournoi de France,3
Switzerland,UEFA Euro,16
Switzerland,UEFA Euro qualification,194
Switzerland,UEFA Nations League,30
Syria,AFC Asian Cup,17
Syria,AFC Asian Cup qualification,75
Syria,Arab Cup,37
Syria,Arab Cup qualification,6
Syria,FIFA World Cup qualification,206
Syria,Intercontinental Cup,6
Syria,Jordan International Tournament,0
Syria,King's Cup,3
Syria,Kirin Challenge Cup,1
Syria,Kirin Cup,0
Syria,Kuneitra Cup,9
Syria,Merdeka Tournament,8
Syria,Nehru Cup,29
Syria,Palestine Cup,25
Syria,Prime Minister's Cup,4
Syria,United Arab Emirates Friendship Tournament,6
Syria,WAFF Championship,27
Székely Land,CONIFA European Football Cup,19
Székely Land,CONIFA World Football Cup,23
Székely Land,CONIFA World Football Cup qualification,10
Sápmi,CONIFA European Football Cup,5
Sápmi,CONIFA World Football Cup,16
Sápmi,CONIFA World Football Cup qualification,1
Sápmi,Viva World Cup,63
São Tomé and Príncipe,African Cup of Nations qualification,23
São Tomé and Príncipe,African Nations Championship,0
São Tomé and Príncipe,FIFA World Cup qualification,5
São Tomé and Príncipe,UNIFFAC Cup,2
Tahiti,African Nations Championship,9
Tahiti,Confederations Cup,1
Tahiti,FIFA World Cup qualification,36
Tahiti,Oceania Nations Cup,81
Tahiti,Oceania Nations Cup qualification,37
Tahiti,Pacific Games,40
Tahiti,South Pacific Games,253
Taiwan,AFC Asian Cup,5
Taiwan,AFC Asian Cup qualification,21
Taiwan,AFC Challenge Cup,2
Taiwan,AFC Challenge Cup qualification,9
Taiwan,EAFF Championship,27
Taiwan,FIFA World Cup qualification,46
Taiwan,Intercontinental Cup,0
Taiwan,Korea Cup,0
Taiwan,Merdeka Tournament,68
Taiwan,SKN Football Festival,0
Taiwan,Vietnam Independence Cup,3
Tajikistan,AFC Asian Cup qualification,34
Tajikistan,AFC Challenge Cup,36
Tajikistan,AFC Challenge Cup qualification,15
Tajikistan,CAFA Nations Cup,3
Tajikistan,ELF Cup,5
Tajikistan,FIFA World Cup qualification,84
Tajikistan,Intercontinental Cup,6
Tajikistan,King's Cup,2
Tajikistan,Navruz Cup,2
Tamil Eelam,CONIFA Asia Cup,9
Tamil Eelam,CONIFA World Football Cup,16
Tamil Eelam,Viva World Cup,4
Tamil Eelam,World Unity Cup,15
Tanzania,African Cup of Nations,5
Tanzania,African Cup of Nations qualification,86
Tanzania,African Nations Championship,2
Tanzania,African Nations Championship qualification,2
Tanzania,CECAFA Cup,171
Tanzania,COSAFA Cup,10
Tanzania,FIFA World Cup qualification,47
Tanzania,Nile Basin Tournament,3
Thailand,AFC Asian Cup,19
Thailand,AFC Asian Cup qualification,114
Thailand,AFF Championship,156
Thailand,FIFA World Cup qualification,129
Thailand,Great Wall Cup,2
Thailand,Indonesia Tournament,11
Thailand,King's Cup,188
Thailand,Kirin Cup,0
Thailand,Korea Cup,46
Thailand,Merdeka Tournament,134
Thailand,Nehru Cup,6
Thailand,VFF Cup,3
Thailand,Vietnam Independence Cup,25
Tibet,CONIFA Asia Cup,5
Tibet,CONIFA World Football Cup,4
Tibet,ELF Cup,0
Tibet,FIFI Wild Cup,0
Ticino,CONIFA World Football Cup qualification,1
Timor-Leste,AFC Asian Cup qualification,3
Timor-Leste,AFC Challenge Cup,0
Timor-Leste,AFF Championship,36
Timor-Leste,AFF Championship qualification,6
Timor-Leste,FIFA World Cup qualification,6
Togo,African Cup of Nations,19
Togo,African Cup of Nations qualification,121
Togo,African Nations Championship,4
Togo,African Nations Championship qualification,5
Togo,FIFA World Cup,1
Togo,FIFA World Cup qualification,77
Togo,West African Cup,26
Tonga,FIFA World Cup qualification,17
Tonga,Oceania Nations Cup qualification,19
Tonga,Pacific Games,0
Tonga,Pacific Mini Games,5
Tonga,South Pacific Games,26
Trinidad and Tobago,CFU Caribbean Cup,178
Trinidad and Tobago,CFU Caribbean Cup qualification,108
Trinidad and Tobago,CONCACAF Championship,37
Trinidad and Tobago,CONCACAF Championship qualification,40
Trinidad and Tobago,CONCACAF Nations League,27
Trinidad and Tobago,Copa América qualification,0
Trinidad and Tobago,FIFA World Cup,0
Trinidad and Tobago,FIFA World Cup qualification,153
Trinidad and Tobago,Gold Cup,44
Trinidad and Tobago,Gold Cup qualification,15
Trinidad and Tobago,King's Cup,2
Trinidad and Tobago,Kirin Challenge Cup,0
Trinidad and Tobago,OSN Cup,6
Trinidad and Tobago,SKN Football Festival,4
Tunisia,African Cup of Nations,98
Tunisia,African Cup of Nations qualification,145
Tunisia,African Nations Championship,13
Tunisia,African Nations Championship qualification,3
Tunisia,Arab Cup,22
Tunisia,Arab Cup qualification,2
Tunisia,Confederations Cup,3
Tunisia,FIFA World Cup,14
Tunisia,FIFA World Cup qualification,197
Tunisia,Kirin Challenge Cup,0
Tunisia,Kirin Cup,5
Tunisia,Kuneitra Cup,5
Tunisia,Malta International Tournament,4
Tunisia,Palestine Cup,23
Turkey,Balkan Cup,13
Turkey,Confederations Cup,8
Turkey,FIFA World Cup,20
Turkey,FIFA World Cup qualification,204
Turkey,Kirin Cup,1
Turkey,UEFA Euro,14
Turkey,UEFA Euro qualification,166
Turkey,UEFA Nations League,28
Turkmenistan,AFC Asian Cup,7
Turkmenistan,AFC Asian Cup qualification,34
Turkmenistan,AFC Challenge Cup,26
Turkmenistan,AFC Challenge Cup qualification,26
Turkmenistan,CAFA Nations Cup,1
Turkmenistan,FIFA World Cup qualification,78
Turkmenistan,United Arab Emirates Friendship Tournament,2
Turkmenistan,VFF Cup,5
Turks and Caicos Islands,CFU Caribbean Cup qualification,8
Turks and Caicos Islands,CONCACAF Nations League,21
Turks and Caicos Islands,CONCACAF Nations League qualification,5
Turks and Caicos Islands,FIFA World Cup qualification,6
Tuvalu,CONIFA World Football Cup,4
Tuvalu,Pacific Games,9
Tuvalu,Pacific Mini Games,6
Tuvalu,South Pacific Games,15
Two Sicilies,CONIFA World Football Cup qualification,1
Two Sicilies,Viva World Cup,2
Uganda,African Cup of Nations,21
Uganda,African Cup of Nations qualification,131
Uganda,African Nations Championship,22
Uganda,African Nations Championship qualification,13
Uganda,CECAFA Cup,306
Uganda,COSAFA Cup,1
Uganda,FIFA World Cup qualification,46
Uganda,Navruz Cup,3
Uganda,Nile Basin Tournament,6
Ukraine,Cyprus International Tournament,10
Ukraine,FIFA World Cup,5
Ukraine,FIFA World Cup qualification,122
Ukraine,UEFA Euro,8
Ukraine,UEFA Euro qualification,101
Ukraine,UEFA Nations League,20
United Arab Emirates,AFC Asian Cup,41
United Arab Emirates,AFC Asian Cup qualification,97
United Arab Emirates,Arab Cup,9
United Arab Emirates,Confederations Cup,2
United Arab Emirates,FIFA World Cup,2
United Arab Emirates,FIFA World Cup qualification,200
United Arab Emirates,Gulf Cup,119
United Arab Emirates,King's Cup,1
United Arab Emirates,Kirin Cup,1
United Arab Emirates,Merdeka Tournament,11
United Arab Emirates,OSN Cup,5
United Arab Emirates,Palestine Cup,4
United Arab Emirates,United Arab Emirates Friendship Tournament,20
United Koreans in Japan,CONIFA World Football Cup,11
United States,CONCACAF Championship,10
United States,CONCACAF Championship qualification,22
United States,CONCACAF Nations League,42
United States,Confederations Cup,20
United States,Copa América,18
United States,FIFA World Cup,40
United States,FIFA World Cup qualification,254
United States,Gold Cup,189
United States,Kirin Challenge Cup,0
United States,Kirin Cup,1
United States,Korea Cup,2
United States,Lunar New Year Cup,1
United States,NAFC Championship,3
United States,NAFU Championship,4
United States,USA Cup,33
United States Virgin Islands,CFU Caribbean Cup qualification,10
United States Virgin Islands,CONCACAF Nations League,13
United States Virgin Islands,CONCACAF Nations League qualification,3
United States Virgin Islands,FIFA World Cup qualification,8
United States Virgin Islands,Gold Cup qualification,2
Uruguay,Atlantic Cup,6
Uruguay,Brazil Independence Cup,1
Uruguay,CONMEBOL–UEFA Cup of Champions,0
Uruguay,Confederations Cup,22
Uruguay,Copa América,410
Uruguay,Copa Artigas,21
Uruguay,Copa Confraternidad,1
Uruguay,Copa Juan Pinto Durán,22
Uruguay,Copa Lipton,29
Uruguay,Copa Newton,32
Uruguay,Copa Premio Honor Argentino,13
Uruguay,Copa Premio Honor Uruguayo,26
Uruguay,Copa Rio Branco,28
Uruguay,FIFA World Cup,89
Uruguay,FIFA World Cup qualification,253
Uruguay,Kirin Challenge Cup,5
Uruguay,Kirin Cup,4
Uruguay,Lunar New Year Cup,1
Uruguay,Mundialito,6
Uruguay,Nehru Cup,7
Uruguay,Pan American Championship,16
Uzbekistan,AFC Asian Cup,42
Uzbekistan,AFC Asian Cup qualification,74
Uzbekistan,CAFA Nations Cup,10
Uzbekistan,FIFA World Cup qualification,200
Uzbekistan,King's Cup,4
Uzbekistan,Merdeka Tournament,6
Uzbekistan,Millennium Cup,5
Uzbekistan,Navruz Cup,7
Uzbekistan,Nehru Cup,2
Vanuatu,FIFA World Cup qualification,30
Vanuatu,MSG Prime Minister's Cup,0
Vanuatu,Oceania Nations Cup,41
Vanuatu,Oceania Nations Cup qualification,25
Vanuatu,Pacific Games,43
Vanuatu,Pacific Mini Games,20
Vanuatu,South Pacific Games,134
Venezuela,Bolivarian Games,6
Venezuela,Brazil Independence Cup,3
Venezuela,Copa América,52
Venezuela,FIFA World Cup qualification,140
Venezuela,Kirin Challenge Cup,5
Vietnam,AFC Asian Cup,9
Vietnam,AFC Asian Cup qualification,55
Vietnam,AFF Championship,135
Vietnam,Dunhill Cup,0
Vietnam,FIFA World Cup qualification,65
Vietnam,King's Cup,7
Vietnam,VFF Cup,7
Vietnam Republic,AFC Asian Cup,8
Vietnam Republic,AFC Asian Cup qualification,26
Vietnam Republic,FIFA World Cup qualification,1
Vietnam Republic,King's Cup,30
Vietnam Republic,Korea Cup,1
Vietnam Republic,Merdeka Tournament,130
Vietnam Republic,Vietnam Independence Cup,62
Wales,British Home Championship,349
Wales,FIFA World Cup,5
Wales,FIFA World Cup qualification,168
Wales,Kirin Cup,1
Wales,Nations Cup,3
Wales,UEFA Euro,13
Wales,UEFA Euro qualification,139
Wales,UEFA Nations League,19
Wallis Islands and Futuna,South Pacific Games,23
Western Armenia,CONIFA European Football Cup,8
Western Armenia,CONIFA World Football Cup,26
Western Australia,Indonesia Tournament,6
Western Australia,King's Cup,8
Western Australia,Merdeka Tournament,49
Western Isles,Inter Games Football Tournament,4
Western Isles,Island Games,44
Western Sahara,Viva World Cup,11
Yemen,AFC Asian Cup,0
Yemen,AFC Asian Cup qualification,64
Yemen,Arab Cup,9
Yemen,Arab Cup qualification,6
Yemen,FIFA World Cup qualification,64
Yemen,GaNEFo,3
Yemen,Gulf Cup,11
Yemen,Kuneitra Cup,2
Yemen,Palestine Cup,2
Yemen,WAFF Championship,6
Yemen DPR,AFC Asian Cup,0
Yemen DPR,AFC Asian Cup qualification,1
Yemen DPR,FIFA World Cup qualification,4
Yemen DPR,Palestine Cup,8
Ynys Môn,Inter Games Football Tournament,10
Ynys Môn,Island Games,106
Yorkshire,Atlantic Heritage Cup,1
Yoruba Nation,CONIFA Africa Football Cup,1
Yugoslavia,Balkan Cup,81
Yugoslavia,Brazil Independence Cup,23
Yugoslavia,Central European International Cup,21
Yugoslavia,FIFA World Cup,55
Yugoslavia,FIFA World Cup qualification,130
Yugoslavia,Nehru Cup,7
Yugoslavia,UEFA Euro,14
Yugoslavia,UEFA Euro qualification,114
Zambia,African Cup of Nations,81
Zambia,African Cup of Nations qualification,163
Zambia,African Nations Championship,22
Zambia,African Nations Championship qualification,6
Zambia,CECAFA Cup,150
Zambia,COSAFA Cup,82
Zambia,COSAFA Cup qualification,3
Zambia,FIFA World Cup qualification,163
Zambia,Korea Cup,4
Zambia,Nehru Cup,1
Zambia,Simba Tournament,4
Zanzibar,CECAFA Cup,98
Zanzibar,ELF Cup,5
Zanzibar,FIFI Wild Cup,7
Zanzibar,Viva World Cup,16
Zimbabwe,African Cup of Nations,16
Zimbabwe,African Cup of Nations qualification,112
Zimbabwe,African Nations Championship,16
Zimbabwe,African Nations Championship qualification,10
Zimbabwe,Afro-Asian Games,9
Zimbabwe,CECAFA Cup,40
Zimbabwe,COSAFA Cup,103
Zimbabwe,COSAFA Cup qualification,3
Zimbabwe,Dunhill Cup,9
Zimbabwe,FIFA World Cup qualification,68
Zimbabwe,Merdeka Tournament,5
Zimbabwe,Simba Tournament,3
Åland,Island Games,2
Åland Islands,Island Games,73
