home_team,away_team,home_score,away_score,tournament,difference
Tanzania,Uganda,2,4,Friendly,2
Belgium,England,2,5,Friendly,3
Netherlands,Switzerland,6,2,Friendly,4
Norway,Denmark,3,5,Nordic Championship,2
Romania,Czechoslovakia,2,6,Friendly,4
Northern Ireland,Scotland,2,0,British Home Championship,2
Denmark,Finland,4,1,Nordic Championship,3
Lithuania,Latvia,0,3,Friendly,3
Sweden,Norway,4,1,Nordic Championship,3
Romania,Hungary,0,3,Balkan Cup,3
Wales,England,0,3,British Home Championship,3
Yugoslavia,Poland,7,1,Friendly,6
Catalonia,Spain,3,1,Friendly,2
Iran,Turkey,1,3,Friendly,2
Switzerland,Belgium,4,0,Friendly,4
Guyana,Jamaica,2,0,Friendly,2
Trinidad and Tobago,Jamaica,6,0,Friendly,6
Austria,Italy,5,1,Friendly,4
Trinidad and Tobago,Guyana,2,0,Friendly,2
England,Sweden,4,2,Friendly,2
Portugal,France,2,4,Friendly,2
Argentina,Paraguay,6,0,Copa América,6
Colombia,Uruguay,0,2,Copa América,2
Argentina,Bolivia,7,0,Copa América,7
Djibouti,Ethiopia,0,5,Friendly,5
Chile,Uruguay,0,6,Copa América,6
Cuba,Puerto Rico,4,0,Friendly,4
Bolivia,Uruguay,0,3,Copa América,3
Ecuador,Chile,0,3,Copa América,3
Paraguay,Uruguay,4,2,Copa América,2
Italy,Czechoslovakia,3,1,Friendly,2
Ecuador,Uruguay,1,6,Copa América,5
Argentina,Colombia,6,0,Copa América,6
Bolivia,Paraguay,1,3,Copa América,2
Colombia,Paraguay,0,2,Copa América,2
Colombia,Peru,1,5,Copa América,4
Ecuador,Argentina,0,2,Copa América,2
Bolivia,Peru,0,2,Copa América,2
Argentina,Uruguay,3,1,Copa América,2
Chile,Colombia,4,1,Copa América,3
Ecuador,Paraguay,0,4,Copa América,4
Costa Rica,El Salvador,3,1,CCCF Championship,2
Guatemala,El Salvador,3,0,CCCF Championship,3
Panama,Curaçao,1,3,CCCF Championship,2
Wales,Northern Ireland,2,0,British Home Championship,2
Costa Rica,Panama,3,1,CCCF Championship,2
Curaçao,El Salvador,0,2,CCCF Championship,2
Suriname,Trinidad and Tobago,0,2,Friendly,2
Curaçao,Panama,2,5,CCCF Championship,3
Panama,El Salvador,2,0,CCCF Championship,2
El Salvador,Costa Rica,0,6,CCCF Championship,6
Curaçao,Costa Rica,4,1,CCCF Championship,3
Spain,Portugal,2,0,Friendly,2
France,Italy,1,3,Friendly,2
Scotland,England,0,2,British Home Championship,2
Uruguay,Brazil,4,2,Copa Rio Branco,2
Austria,Switzerland,3,1,Friendly,2
Poland,Czechoslovakia,3,1,Balkan Cup,2
Hungary,Switzerland,7,4,Central European International Cup,3
Greece,Turkey,1,3,Friendly,2
Scotland,Belgium,2,0,Friendly,2
Italy,England,0,4,Friendly,4
France,Scotland,3,0,Friendly,3
Portugal,Republic of Ireland,2,0,Friendly,2
Belgium,France,4,2,Friendly,2
Hungary,Romania,9,0,Balkan Cup,9
Jamaica,Cuba,3,0,Friendly,3
Czechoslovakia,France,0,4,Friendly,4
Finland,Denmark,0,3,Nordic Championship,3
Denmark,Poland,8,0,Friendly,8
Iceland,Finland,2,0,Friendly,2
Bulgaria,Yugoslavia,1,3,Balkan Cup,2
Mauritius,Madagascar,4,1,Friendly,3
Mauritius,Réunion,5,1,Friendly,4
Sweden,Austria,3,0,Friendly,3
Norway,United States,11,0,Friendly,11
Northern Ireland,United States,5,0,Friendly,5
New Zealand,Australia,0,6,Friendly,6
Zimbabwe,Zambia,4,0,Friendly,4
New Zealand,Australia,0,7,Friendly,7
Martinique,Dominica,5,0,Friendly,5
New Zealand,Australia,0,4,Friendly,4
Norway,Finland,2,0,Nordic Championship,2
New Zealand,Australia,1,8,Friendly,7
Norway,Sweden,3,5,Nordic Championship,2
Poland,Hungary,2,6,Balkan Cup,4
Kenya,Zanzibar,3,1,Friendly,2
Uganda,Tanzania,6,0,Friendly,6
French Guiana,Suriname,2,4,Friendly,2
United States,Israel,3,1,Friendly,2
Suriname,Guyana,3,0,Friendly,3
Northern Ireland,England,2,6,British Home Championship,4
Jamaica,Haiti,3,0,Friendly,3
Wales,Scotland,1,3,British Home Championship,2
Romania,Hungary,1,5,Balkan Cup,4
Trinidad and Tobago,Haiti,4,0,Friendly,4
Trinidad and Tobago,Haiti,4,0,Friendly,4
Czechoslovakia,Austria,3,1,Central European International Cup,2
England,Switzerland,6,0,Friendly,6
Dominica,Martinique,0,6,Friendly,6
Guadeloupe,French Guiana,7,2,Friendly,5
Guadeloupe,Martinique,3,0,Friendly,3
Macau,South Korea,1,5,Friendly,4
Italy,Portugal,4,1,Friendly,3
Northern Ireland,Wales,0,2,British Home Championship,2
Spain,Italy,1,3,Friendly,2
Brazil,Ecuador,9,1,Copa América,8
Colombia,Paraguay,0,3,Copa América,3
England,Scotland,1,3,British Home Championship,2
Brazil,Bolivia,10,1,Copa América,9
Colombia,Peru,0,4,Copa América,4
Czechoslovakia,Hungary,5,2,Central European International Cup,3
Paraguay,Peru,3,1,Copa América,2
Brazil,Colombia,5,0,Copa América,5
Ecuador,Peru,0,4,Copa América,4
Netherlands,France,4,1,Friendly,3
Brazil,Peru,7,1,Copa América,6
Republic of Ireland,Belgium,0,2,Friendly,2
Bolivia,Ecuador,2,0,Copa América,2
Haiti,Trinidad and Tobago,5,0,Friendly,5
Bolivia,Peru,0,3,Copa América,3
Chile,Paraguay,2,4,Copa América,2
Scotland,France,2,0,Friendly,2
Bolivia,Paraguay,0,7,Copa América,7
Brazil,Uruguay,5,1,Copa América,4
Chile,Peru,0,3,Copa América,3
Ethiopia,Djibouti,6,0,Friendly,6
Jamaica,Trinidad and Tobago,3,1,Friendly,2
Colombia,Ecuador,1,4,Copa América,3
Bolivia,Colombia,4,0,Copa América,4
Chile,Uruguay,3,1,Copa América,2
Hungary,Austria,6,1,Central European International Cup,5
Puerto Rico,Trinidad and Tobago,2,8,Friendly,6
Brazil,Paraguay,7,0,Copa América,7
Puerto Rico,Trinidad and Tobago,0,7,Friendly,7
Sweden,England,3,1,Friendly,2
Greece,Egypt,1,3,Friendly,2
Norway,England,1,4,Friendly,3
Belgium,Wales,3,1,Friendly,2
France,England,1,3,Friendly,2
Italy,Austria,3,1,Central European International Cup,2
Switzerland,Wales,4,0,Friendly,4
Sweden,Republic of Ireland,3,1,FIFA World Cup qualification,2
France,Switzerland,4,2,Friendly,2
Republic of Ireland,Spain,1,4,Friendly,3
Finland,Netherlands,1,4,Friendly,3
Madagascar,Mauritius,1,3,Friendly,2
France,Spain,1,5,Friendly,4
Norway,Yugoslavia,1,3,Friendly,2
United States,Scotland,0,4,Friendly,4
Switzerland,Luxembourg,5,2,FIFA World Cup qualification,3
Martinique,Trinidad and Tobago,2,0,Friendly,2
Hungary,Poland,8,2,Friendly,6
Curaçao,Aruba,3,0,Friendly,3
Israel,Cyprus,3,1,Friendly,2
El Salvador,Panama,3,1,Friendly,2
Denmark,Iceland,5,1,Friendly,4
Suriname,French Guiana,5,0,Friendly,5
Yugoslavia,Israel,6,0,FIFA World Cup qualification,6
Czechoslovakia,Bulgaria,1,3,Friendly,2
Mexico,United States,6,0,NAFC Championship,6
Republic of Ireland,Finland,3,0,FIFA World Cup qualification,3
Denmark,Finland,0,2,Nordic Championship,2
Mexico,Cuba,2,0,NAFC Championship,2
Norway,Denmark,0,2,Nordic Championship,2
Israel,Yugoslavia,2,5,FIFA World Cup qualification,3
Mexico,United States,6,2,FIFA World Cup qualification,4
England,Republic of Ireland,0,2,Friendly,2
United States,Cuba,5,2,FIFA World Cup qualification,3
Austria,Czechoslovakia,3,1,Central European International Cup,2
Mexico,Cuba,3,0,FIFA World Cup qualification,3
Northern Ireland,Scotland,2,8,FIFA World Cup qualification,6
Belgium,Switzerland,3,0,Friendly,3
Sweden,Finland,8,1,Nordic Championship,7
Réunion,Mauritius,0,6,Friendly,6
Sierra Leone,Nigeria,0,2,Friendly,2
Réunion,Madagascar,1,3,Friendly,2
Wales,England,1,4,FIFA World Cup qualification,3
Czechoslovakia,Poland,2,0,Friendly,2
Hungary,Bulgaria,5,0,Friendly,5
Scotland,Wales,2,0,FIFA World Cup qualification,2
Republic of Ireland,Sweden,1,3,FIFA World Cup qualification,2
Yugoslavia,Austria,2,5,Friendly,3
England,Northern Ireland,9,2,FIFA World Cup qualification,7
Hungary,Sweden,5,0,Friendly,5
Turkey,Syria,7,0,FIFA World Cup qualification,7
Wales,Belgium,5,1,Friendly,4
Greece,Syria,8,0,Friendly,8
Albania,Romania,1,4,Friendly,3
England,Italy,2,0,Friendly,2
Kenya,Tanzania,0,2,Friendly,2
Cuba,Jamaica,2,5,Friendly,3
Haiti,Jamaica,2,0,Friendly,2
Haiti,Cuba,3,0,Friendly,3
Egypt,Greece,2,0,Friendly,2
Bolivia,Chile,2,0,Friendly,2
Croatia,Serbia,4,1,Friendly,3
Italy,Belgium,3,1,Friendly,2
Chile,Bolivia,5,0,Friendly,5
Guyana,Trinidad and Tobago,1,4,Friendly,3
Argentina,Paraguay,4,0,Copa Chevallier Boutell,4
Spain,Portugal,5,1,FIFA World Cup qualification,4
Chile,Uruguay,1,5,Friendly,4
Mauritius,Réunion,15,2,Friendly,13
Belgium,Netherlands,2,0,Friendly,2
South Korea,Taiwan,3,1,Friendly,2
Scotland,Switzerland,3,1,Friendly,2
Hungary,Czechoslovakia,5,0,Friendly,5
Brazil,Paraguay,2,0,Copa Oswaldo Cruz,2
Belgium,Republic of Ireland,5,1,Friendly,4
Austria,Hungary,5,3,Friendly,2
Portugal,England,3,5,Friendly,2
Belgium,England,1,4,Friendly,3
Turkey,Iran,6,1,Friendly,5
Yugoslavia,Denmark,5,1,Friendly,4
Belgium,France,4,1,Friendly,3
Poland,Hungary,2,5,Friendly,3
Sweden,Netherlands,4,1,Friendly,3
Finland,Netherlands,4,1,Friendly,3
Switzerland,Yugoslavia,0,4,Friendly,4
Zimbabwe,Australia,0,5,Friendly,5
Zimbabwe,Australia,1,4,Friendly,3
Denmark,Norway,4,0,Nordic Championship,4
Brazil,Mexico,4,0,FIFA World Cup,4
Chile,England,0,2,FIFA World Cup,2
Denmark,Norway,1,4,Friendly,3
Spain,United States,3,1,FIFA World Cup,2
Switzerland,Yugoslavia,0,3,FIFA World Cup,3
Mexico,Yugoslavia,1,4,FIFA World Cup,3
Chile,Spain,0,2,FIFA World Cup,2
Brazil,Yugoslavia,2,0,FIFA World Cup,2
Bolivia,Uruguay,0,8,FIFA World Cup,8
Chile,United States,5,2,FIFA World Cup,3
Italy,Paraguay,2,0,FIFA World Cup,2
Brazil,Sweden,7,1,FIFA World Cup,6
Madagascar,Mauritius,1,5,Friendly,4
Brazil,Spain,6,1,FIFA World Cup,5
Spain,Sweden,1,3,FIFA World Cup,2
South Africa,Australia,0,2,Friendly,2
Suriname,Guyana,3,0,Friendly,3
Suriname,Guyana,4,1,Friendly,3
El Salvador,Guatemala,2,0,Friendly,2
Denmark,Yugoslavia,1,4,Friendly,3
Norway,Finland,4,1,Nordic Championship,3
Hungary,Albania,12,0,Friendly,12
Norway,Sweden,1,3,Nordic Championship,2
Northern Ireland,England,1,4,British Home Championship,3
Austria,Yugoslavia,7,2,Friendly,5
Romania,Albania,6,0,Friendly,6
Tanzania,Zanzibar,4,0,Friendly,4
Kenya,Uganda,3,1,Friendly,2
Sweden,Denmark,4,0,Nordic Championship,4
Switzerland,Netherlands,7,5,Friendly,2
Wales,Scotland,1,3,British Home Championship,2
Poland,Czechoslovakia,1,4,Friendly,3
Iran,Afghanistan,4,0,Friendly,4
Israel,Turkey,5,1,Friendly,4
Scotland,Northern Ireland,6,1,British Home Championship,5
Austria,Denmark,5,1,Friendly,4
Yugoslavia,Norway,4,0,Friendly,4
Belgium,Netherlands,7,2,Friendly,5
Switzerland,Sweden,4,2,Friendly,2
England,Wales,4,2,British Home Championship,2
Trinidad and Tobago,Suriname,5,0,Friendly,5
Curaçao,Suriname,3,0,Friendly,3
Trinidad and Tobago,Curaçao,5,1,Friendly,4
France,Netherlands,5,2,Friendly,3
Spain,Switzerland,6,3,Friendly,3
Costa Rica,Nicaragua,8,1,CCCF Championship,7
Panama,Costa Rica,2,0,CCCF Championship,2
Panama,Nicaragua,4,0,CCCF Championship,4
Nicaragua,Costa Rica,1,4,CCCF Championship,3
Panama,Nicaragua,6,2,CCCF Championship,4
Barbados,Grenada,1,3,Friendly,2
Martinique,Guadeloupe,3,0,Friendly,3
Portugal,Italy,1,4,Friendly,3
Scotland,Denmark,3,1,Friendly,2
England,Portugal,5,2,Friendly,3
Belgium,Scotland,0,5,Friendly,5
Barbados,Jamaica,3,0,Friendly,3
Austria,Scotland,4,0,Friendly,4
Hungary,Poland,6,0,Friendly,6
Barbados,Jamaica,5,2,Friendly,3
Italy,France,4,1,Friendly,3
Sweden,Turkey,3,1,Friendly,2
Yugoslavia,Switzerland,7,3,Friendly,4
Madagascar,Réunion,3,1,Friendly,2
Mauritius,Madagascar,7,1,Friendly,6
Mauritius,Réunion,10,2,Friendly,8
Norway,Iceland,3,1,Friendly,2
Norway,Yugoslavia,2,4,Friendly,2
Suriname,Guyana,6,1,Friendly,5
Suriname,Guyana,5,0,Friendly,5
Suriname,Guyana,4,0,Friendly,4
Norway,Denmark,2,0,Nordic Championship,2
New Caledonia,New Zealand,2,0,Friendly,2
New Caledonia,New Zealand,4,6,Friendly,2
Austria,Germany,0,2,Friendly,2
New Caledonia,New Zealand,2,0,Friendly,2
New Caledonia,New Zealand,1,3,Friendly,2
New Zealand,Vanuatu,9,0,Friendly,9
Northern Ireland,Scotland,0,3,British Home Championship,3
Fiji,New Zealand,4,6,Friendly,2
Belgium,Austria,1,8,Friendly,7
Nigeria,Ghana,5,0,Friendly,5
Denmark,Sweden,3,1,Nordic Championship,2
Luxembourg,Finland,3,0,Friendly,3
England,Northern Ireland,2,0,British Home Championship,2
Hungary,Finland,8,0,Friendly,8
Turkey,Germany,0,2,Friendly,2
Venezuela,Panama,4,1,Friendly,3
Guadeloupe,Trinidad and Tobago,0,2,Friendly,2
Germany,Luxembourg,4,1,Friendly,3
Curaçao,Aruba,3,0,Friendly,3
Curaçao,Aruba,3,1,Friendly,2
Guyana,Suriname,0,9,Friendly,9
Belgium,Italy,2,0,Friendly,2
Guadeloupe,Martinique,4,0,Friendly,4
Myanmar,India,0,4,Friendly,4
Chile,Panama,6,1,Pan American Championship,5
Wales,Northern Ireland,3,0,British Home Championship,3
Austria,Belgium,2,0,Friendly,2
Mexico,Uruguay,1,3,Pan American Championship,2
Panama,Peru,1,7,Pan American Championship,6
Chile,Mexico,4,0,Pan American Championship,4
Sri Lanka,Pakistan,0,2,Friendly,2
Peru,Uruguay,2,5,Pan American Championship,3
Belgium,Netherlands,4,2,Friendly,2
Brazil,Mexico,2,0,Pan American Championship,2
Panama,Uruguay,1,6,Pan American Championship,5
Mexico,Panama,4,2,Pan American Championship,2
Brazil,Panama,5,0,Pan American Championship,5
Chile,Uruguay,2,0,Pan American Championship,2
Brazil,Uruguay,4,2,Pan American Championship,2
Chile,Brazil,0,3,Pan American Championship,3
France,Portugal,3,0,Friendly,3
Luxembourg,Germany,0,3,Friendly,3
Mexico,Peru,0,3,Pan American Championship,3
Scotland,United States,6,0,Friendly,6
Germany,Republic of Ireland,3,0,Friendly,3
Austria,Republic of Ireland,6,0,Friendly,6
Romania,Czechoslovakia,3,1,Friendly,2
Hungary,German DR,5,0,Friendly,5
Switzerland,England,0,3,Friendly,3
Sweden,Scotland,3,1,Friendly,2
Spain,Republic of Ireland,6,0,Friendly,6
Turkey,Switzerland,1,5,Friendly,4
Denmark,Sweden,0,2,Friendly,2
Finland,Sweden,3,1,Friendly,2
Poland,Hungary,1,5,Friendly,4
Finland,Hungary,1,6,Friendly,5
Yugoslavia,Norway,4,1,Friendly,3
Haiti,Jamaica,4,1,Friendly,3
Haiti,Jamaica,2,0,Friendly,2
Réunion,Mauritius,0,6,Friendly,6
Madagascar,Mauritius,0,7,Friendly,7
Finland,China PR,4,0,Friendly,4
Silesia,China PR,5,1,Friendly,4
Norway,Finland,7,2,Nordic Championship,5
Zambia,Zimbabwe,1,4,Friendly,3
Fiji,New Zealand,0,2,Friendly,2
Fiji,New Zealand,0,9,Friendly,9
Fiji,New Zealand,2,5,Friendly,3
Switzerland,Hungary,2,4,Central European International Cup,2
Finland,Sweden,1,8,Nordic Championship,7
Poland,German DR,3,0,Friendly,3
Yugoslavia,Austria,4,2,Friendly,2
Uganda,Tanzania,4,0,Friendly,4
Kenya,Zanzibar,7,1,Friendly,6
Tanzania,Zanzibar,1,3,Friendly,2
Uganda,Kenya,6,3,Friendly,3
Tahiti,New Zealand,3,5,Friendly,2
France,Germany,3,1,Friendly,2
Denmark,Norway,1,3,Nordic Championship,2
Hungary,Czechoslovakia,5,0,Friendly,5
Romania,German DR,3,1,Friendly,2
Yugoslavia,Egypt,5,0,Friendly,5
Germany,Switzerland,5,1,Friendly,4
France,Northern Ireland,3,1,Friendly,2
England,Wales,5,2,British Home Championship,3
England,Belgium,5,0,Friendly,5
Portugal,Argentina,1,3,Friendly,2
Italy,Switzerland,2,0,Central European International Cup,2
Egypt,Yugoslavia,1,3,Friendly,2
Bolivia,Uruguay,0,2,Copa América,2
Chile,Paraguay,0,3,Copa América,3
Bolivia,Brazil,1,8,Copa América,7
Costa Rica,El Salvador,5,1,CCCF Championship,4
Costa Rica,Panama,3,0,CCCF Championship,3
El Salvador,Nicaragua,4,1,CCCF Championship,3
Curaçao,Nicaragua,8,0,CCCF Championship,8
Brazil,Ecuador,2,0,Copa América,2
Panama,Curaçao,2,4,CCCF Championship,2
Costa Rica,Honduras,4,1,CCCF Championship,3
Panama,Nicaragua,0,2,CCCF Championship,2
El Salvador,Honduras,0,3,CCCF Championship,3
Costa Rica,Nicaragua,3,0,CCCF Championship,3
Chile,Ecuador,3,0,Copa América,3
Spain,Belgium,3,1,Friendly,2
Costa Rica,Guatemala,3,0,CCCF Championship,3
Honduras,Panama,3,1,CCCF Championship,2
Ecuador,Uruguay,0,6,Copa América,6
Republic of Ireland,Austria,4,0,Friendly,4
Peru,Uruguay,0,3,Copa América,3
Hong Kong,South Korea,4,0,Friendly,4
South Korea,Taiwan,2,4,Friendly,2
Singapore,South Korea,3,1,Friendly,2
Netherlands,Belgium,0,2,Friendly,2
Singapore,South Korea,1,3,Friendly,2
Czechoslovakia,Italy,2,0,Central European International Cup,2
Indonesia,South Korea,1,3,Friendly,2
Argentina,England,3,1,Friendly,2
Belgium,Yugoslavia,1,3,Friendly,2
France,Wales,6,1,Friendly,5
Guadeloupe,Martinique,0,2,Friendly,2
Italy,Hungary,0,3,Central European International Cup,3
Yugoslavia,Wales,5,2,Friendly,3
Finland,Belgium,2,4,FIFA World Cup qualification,2
Gambia,Guinea-Bissau,1,3,Friendly,2
United States,England,3,6,Friendly,3
Czechoslovakia,Romania,2,0,FIFA World Cup qualification,2
Singapore,Philippines,3,1,Friendly,2
Denmark,Sweden,1,3,Nordic Championship,2
Switzerland,Denmark,1,4,Friendly,3
Romania,Bulgaria,3,1,FIFA World Cup qualification,2
Sweden,Hungary,2,4,Friendly,2
Mauritius,Réunion,9,4,Friendly,5
Madagascar,Réunion,6,4,Friendly,2
Mexico,Haiti,8,0,FIFA World Cup qualification,8
Peru,Chile,5,0,Copa del Pacífico,5
Denmark,Iceland,4,0,Friendly,4
Catalonia,Spain,0,6,Friendly,6
Norway,Iceland,3,1,Friendly,2
Sweden,Finland,4,0,FIFA World Cup qualification,4
Finland,Norway,1,4,Nordic Championship,3
Vanuatu,Tahiti,2,4,Friendly,2
Vanuatu,Tahiti,2,4,Friendly,2
Uganda,Burundi,9,1,Friendly,8
Czechoslovakia,Switzerland,5,0,Central European International Cup,5
Luxembourg,France,1,6,FIFA World Cup qualification,5
New Caledonia,Tahiti,5,0,Friendly,5
New Caledonia,Tahiti,4,1,Friendly,3
New Caledonia,Tahiti,4,1,Friendly,3
Kernow,Trinidad and Tobago,3,6,Friendly,3
Austria,Portugal,9,1,FIFA World Cup qualification,8
Norway,Netherlands,4,0,Friendly,4
Zanzibar,Uganda,1,5,Friendly,4
Kenya,Tanzania,7,1,Friendly,6
Kernow,Trinidad and Tobago,2,4,Friendly,2
Kenya,Uganda,6,2,Friendly,4
Northern Ireland,Scotland,1,3,FIFA World Cup qualification,2
Czechoslovakia,Hungary,1,5,Friendly,4
Denmark,Finland,6,1,Nordic Championship,5
Republic of Ireland,France,3,5,FIFA World Cup qualification,2
Belgium,Sweden,2,0,FIFA World Cup qualification,2
Wales,England,1,4,FIFA World Cup qualification,3
Germany,Saarland,3,0,FIFA World Cup qualification,3
Yugoslavia,France,3,1,Friendly,2
Sri Lanka,India,0,2,Friendly,2
Republic of Ireland,Luxembourg,4,0,FIFA World Cup qualification,4
Myanmar,India,2,4,Friendly,2
England,Northern Ireland,3,1,FIFA World Cup qualification,2
France,Switzerland,2,4,Friendly,2
Haiti,Jamaica,4,1,Friendly,3
Germany,Norway,5,1,FIFA World Cup qualification,4
Portugal,South Africa,3,1,Friendly,2
England,Hungary,3,6,Friendly,3
Albania,Poland,2,0,Friendly,2
Italy,Czechoslovakia,3,0,Central European International Cup,3
France,Luxembourg,8,0,FIFA World Cup qualification,8
Haiti,Mexico,0,4,FIFA World Cup qualification,4
Spain,Turkey,4,1,FIFA World Cup qualification,3
Mexico,United States,4,0,FIFA World Cup qualification,4
Mexico,United States,3,1,FIFA World Cup qualification,2
Italy,Egypt,5,1,FIFA World Cup qualification,4
Egypt,Hungary,0,3,Friendly,3
Paraguay,Chile,4,0,FIFA World Cup qualification,4
Chile,Paraguay,1,3,FIFA World Cup qualification,2
Chile,Brazil,0,2,FIFA World Cup qualification,2
Japan,South Korea,1,5,FIFA World Cup qualification,4
Israel,Greece,0,2,FIFA World Cup qualification,2
Brazil,Paraguay,4,1,FIFA World Cup qualification,3
Saarland,Germany,1,3,FIFA World Cup qualification,2
Scotland,England,2,4,FIFA World Cup qualification,2
Belgium,Netherlands,4,0,Friendly,4
Haiti,United States,0,3,FIFA World Cup qualification,3
Uruguay,Paraguay,1,4,Friendly,3
France,Italy,1,3,Friendly,2
Switzerland,Germany,3,5,Friendly,2
Ethiopia,Djibouti,10,2,Friendly,8
Austria,Wales,2,0,Friendly,2
Yugoslavia,Belgium,0,2,Friendly,2
Sweden,Netherlands,6,1,Friendly,5
Guadeloupe,Martinique,2,4,Friendly,2
Hungary,England,7,1,Friendly,6
Austria,Norway,5,0,Friendly,5
Switzerland,Netherlands,3,1,Friendly,2
Djibouti,Ethiopia,0,2,Friendly,2
Ghana,Sierra Leone,2,0,Friendly,2
Sweden,Finland,6,0,Friendly,6
Saarland,Uruguay,1,7,Friendly,6
Sweden,Norway,3,0,Friendly,3
Brazil,Mexico,5,0,FIFA World Cup,5
Czechoslovakia,Uruguay,0,2,FIFA World Cup,2
Germany,Turkey,4,1,FIFA World Cup,3
Hungary,South Korea,9,0,FIFA World Cup,9
Austria,Czechoslovakia,5,0,FIFA World Cup,5
Scotland,Uruguay,0,7,FIFA World Cup,7
Belgium,Italy,1,4,FIFA World Cup,3
Germany,Hungary,3,8,FIFA World Cup,5
South Korea,Turkey,0,7,FIFA World Cup,7
Switzerland,England,0,2,FIFA World Cup,2
Germany,Turkey,7,2,FIFA World Cup,5
Switzerland,Italy,4,1,FIFA World Cup,3
England,Uruguay,2,4,FIFA World Cup,2
Switzerland,Austria,5,7,FIFA World Cup,2
Brazil,Hungary,2,4,FIFA World Cup,2
Germany,Yugoslavia,2,0,FIFA World Cup,2
Austria,Germany,1,6,FIFA World Cup,5
Hungary,Uruguay,4,2,FIFA World Cup,2
Austria,Uruguay,3,1,FIFA World Cup,2
Madagascar,Réunion,2,6,Friendly,4
Mauritius,Madagascar,4,1,Friendly,3
Mauritius,Réunion,11,0,Friendly,11
Curaçao,Netherlands,2,0,Friendly,2
Suriname,Netherlands,0,2,Friendly,2
Finland,Sweden,1,10,Nordic Championship,9
Zimbabwe,Zambia,2,4,Friendly,2
Australia,New Zealand,4,1,Friendly,3
Norway,Finland,3,1,Nordic Championship,2
Australia,New Zealand,4,1,Friendly,3
Russia,Sweden,7,0,Friendly,7
Chile,Peru,2,4,Copa del Pacífico,2
Hungary,Romania,5,1,Friendly,4
Wales,Yugoslavia,1,3,Friendly,2
Belgium,Germany,2,0,Friendly,2
Saarland,Yugoslavia,1,5,Friendly,4
Northern Ireland,England,0,2,British Home Championship,2
Kenya,Zanzibar,5,0,Friendly,5
Tanzania,Uganda,3,5,Friendly,2
Hungary,Switzerland,3,0,Friendly,3
Kenya,Uganda,1,4,Friendly,3
Sweden,Denmark,5,2,Nordic Championship,3
Germany,France,1,3,Friendly,2
Yugoslavia,Turkey,5,1,Friendly,4
Bulgaria,German DR,3,1,Friendly,2
Hungary,Czechoslovakia,4,1,Friendly,3
Nigeria,Ghana,3,0,Friendly,3
Cambodia,Thailand,7,1,Friendly,6
Hungary,Austria,4,1,Friendly,3
Portugal,Argentina,1,3,Friendly,2
England,Germany,3,1,Friendly,2
Italy,Argentina,2,0,Friendly,2
Scotland,Hungary,2,4,Friendly,2
Portugal,Germany,0,3,Friendly,3
Chile,Ecuador,7,1,Copa América,6
Martinique,Guadeloupe,4,1,Friendly,3
Argentina,Paraguay,5,3,Copa América,2
Argentina,Ecuador,4,0,Copa América,4
Paraguay,Uruguay,1,3,Copa América,2
Ecuador,Peru,2,4,Copa América,2
Ecuador,Paraguay,0,2,Copa América,2
Chile,Paraguay,5,0,Copa América,5
Ecuador,Uruguay,1,5,Copa América,4
Argentina,Uruguay,6,1,Copa América,5
England,Scotland,7,2,British Home Championship,5
France,Sweden,2,0,Friendly,2
Scotland,Portugal,3,0,Friendly,3
Norway,Hungary,0,5,Friendly,5
Sweden,Hungary,3,7,Friendly,4
Denmark,Hungary,0,6,Friendly,6
Austria,Scotland,1,4,Friendly,3
Finland,Hungary,1,9,Friendly,8
Netherlands,Switzerland,4,1,Friendly,3
Portugal,England,3,1,Friendly,2
Norway,Republic of Ireland,1,3,Friendly,2
Hungary,Scotland,3,1,Friendly,2
Italy,Yugoslavia,0,4,Central European International Cup,4
Belgium,Czechoslovakia,1,3,Friendly,2
Sweden,Romania,4,1,Friendly,3
Switzerland,Spain,0,3,Friendly,3
Sweden,Russia,0,6,Friendly,6
Iceland,Denmark,0,4,Friendly,4
Réunion,Mauritius,1,3,Friendly,2
Réunion,Madagascar,2,4,Friendly,2
Costa Rica,Guatemala,9,1,Friendly,8
Guatemala,Costa Rica,3,1,Friendly,2
Finland,Norway,1,3,Nordic Championship,2
Honduras,Cuba,3,0,CCCF Championship,3
Costa Rica,Cuba,6,0,CCCF Championship,6
Honduras,El Salvador,3,1,CCCF Championship,2
Guatemala,Curaçao,4,1,CCCF Championship,3
Aruba,Cuba,4,1,CCCF Championship,3
Costa Rica,El Salvador,4,0,CCCF Championship,4
Honduras,Curaçao,0,2,CCCF Championship,2
Guatemala,Costa Rica,0,2,CCCF Championship,2
El Salvador,Aruba,2,0,CCCF Championship,2
Curaçao,El Salvador,3,0,CCCF Championship,3
Curaçao,Cuba,2,0,CCCF Championship,2
Sweden,Finland,3,0,Nordic Championship,3
Australia,South Africa,0,3,Friendly,3
Australia,South Africa,0,2,Friendly,2
Finland,Poland,1,3,Friendly,2
Russia,India,11,1,Friendly,10
Australia,South Africa,0,8,Friendly,8
Australia,South Africa,0,6,Friendly,6
Czechoslovakia,Belgium,5,2,Friendly,3
Yugoslavia,Germany,3,1,Friendly,2
Australia,South Africa,1,4,Friendly,3
Czechoslovakia,Hungary,1,3,Central European International Cup,2
Denmark,England,1,5,Friendly,4
Kenya,Zanzibar,8,0,Friendly,8
