home_team,away_team,home_score,away_score,tournament,difference
Netherlands,Belgium,4,1,Friendly,3
Belgium,France,5,2,Friendly,3
Hungary,England,2,4,Friendly,2
Hungary,England,2,8,Friendly,6
Austria,England,1,8,Friendly,7
Argentina,Uruguay,3,1,Copa Premio Honor Argentino,2
Scotland,England,2,0,British Home Championship,2
France,Belgium,0,4,Friendly,4
Netherlands,Belgium,7,0,Friendly,7
Wales,Northern Ireland,4,1,British Home Championship,3
Netherlands,Germany,4,2,Friendly,2
Italy,France,6,2,Friendly,4
Germany,Belgium,0,3,Friendly,3
Hungary,Italy,6,1,Friendly,5
Argentina,Chile,3,1,Friendly,2
Chile,Uruguay,0,3,Friendly,3
Argentina,Chile,5,1,Friendly,4
Argentina,Uruguay,4,1,Friendly,3
Uruguay,Argentina,3,1,Copa Lipton,2
Chile,Argentina,0,3,Friendly,3
Norway,Sweden,0,4,Friendly,4
Hungary,Austria,3,0,Friendly,3
Argentina,Uruguay,2,6,Copa Premio Honor Argentino,4
France,Hungary,0,3,Friendly,3
Switzerland,Hungary,2,0,Friendly,2
England,Wales,3,0,British Home Championship,3
Scotland,Northern Ireland,2,0,British Home Championship,2
Belgium,Netherlands,1,5,Friendly,4
Germany,Switzerland,6,2,Friendly,4
Netherlands,Belgium,3,1,Friendly,2
Switzerland,France,5,2,Friendly,3
Belgium,France,7,1,Friendly,6
Austria,Hungary,3,1,Friendly,2
Switzerland,Italy,3,0,Friendly,3
Sweden,Germany,2,4,Friendly,2
Argentina,Uruguay,0,2,Copa Lipton,2
Sweden,Norway,4,1,Friendly,3
Argentina,Uruguay,2,0,Copa Premio Honor Argentino,2
Finland,Sweden,2,5,Friendly,3
Germany,Sweden,1,3,Friendly,2
Hungary,Switzerland,9,0,Friendly,9
Luxembourg,France,1,4,Friendly,3
Uruguay,Argentina,3,0,Copa Premio Honor Uruguayo,3
Hungary,Austria,2,0,Friendly,2
Germany,Hungary,1,4,Friendly,3
Northern Ireland,England,1,6,British Home Championship,5
France,Catalonia,7,0,Friendly,7
France,Switzerland,4,1,Friendly,3
Belgium,Switzerland,9,2,Friendly,7
Wales,England,0,2,British Home Championship,2
Northern Ireland,Scotland,1,4,British Home Championship,3
Norway,Hungary,0,6,Friendly,6
Sweden,Finland,7,1,Friendly,6
Austria,Italy,5,1,Friendly,4
Hungary,Austria,3,0,Friendly,3
Netherlands,Austria,3,1,Friendly,2
Russia,Hungary,0,9,Friendly,9
Russia,Hungary,0,12,Friendly,12
Uruguay,Argentina,2,0,Copa Lipton,2
Uruguay,Argentina,3,0,Copa Premio Honor Uruguayo,3
Denmark,Germany,3,1,Friendly,2
Hungary,Austria,4,0,Friendly,4
Sweden,Norway,4,2,Friendly,2
Uruguay,Argentina,1,3,Friendly,2
Italy,Austria,1,3,Friendly,2
Belgium,France,3,0,Friendly,3
Switzerland,France,1,4,Friendly,3
France,Luxembourg,8,0,Friendly,8
Netherlands,Belgium,2,4,Friendly,2
Austria,Hungary,1,4,Friendly,3
Russia,Sweden,1,4,Friendly,3
Hungary,Sweden,2,0,Friendly,2
Denmark,Sweden,8,0,Friendly,8
Sweden,Norway,9,0,Friendly,9
Austria,Italy,2,0,Friendly,2
Argentina,Uruguay,4,0,Copa Lipton,4
Argentina,Uruguay,2,0,Copa Premio Honor Argentino,2
Chile,Argentina,0,2,Friendly,2
Sweden,Denmark,0,10,Friendly,10
Germany,Denmark,1,4,Friendly,3
Belgium,Switzerland,2,0,Friendly,2
Belgium,Germany,6,2,Friendly,4
England,Northern Ireland,0,3,British Home Championship,3
Belgium,Netherlands,2,4,Friendly,2
Wales,England,0,2,British Home Championship,2
Italy,France,2,0,Friendly,2
Scotland,England,3,1,British Home Championship,2
Netherlands,Belgium,4,2,Friendly,2
Austria,Hungary,2,0,Friendly,2
Hungary,France,5,1,Friendly,4
Argentina,Brazil,3,0,Friendly,3
Sweden,Norway,7,0,Friendly,7
Basque Country,Catalonia,6,1,Friendly,5
Italy,Switzerland,3,1,Friendly,2
Hungary,Austria,2,5,Friendly,3
Denmark,Sweden,2,0,Friendly,2
Uruguay,Argentina,2,0,Copa Newton,2
Denmark,Norway,8,1,Friendly,7
Austria,Hungary,4,2,Friendly,2
